Time Log File
ImageName, CurreintImageIndex, CurrentColorStep, ActiveColorIndex, TimeElapsed s
000000010432.jpg, 0, 1, 0, 6.907 s
000000010432.jpg, 0, 2, 0, 0.463 s
000000010432.jpg, 0, 2, 1, 1.175 s
000000010432.jpg, 0, 3, 0, 0.352 s
000000010432.jpg, 0, 3, 1, 0.248 s
000000010432.jpg, 0, 3, 2, 0.288 s
000000010432.jpg, 0, 3, 1, 0.552 s
000000010432.jpg, 0, 3, 0, 0.832 s
000000010432.jpg, 0, 1, 0, 51.220 s
000000010432.jpg, 0, 2, 0, 8.870 s
000000010432.jpg, 0, 3, 0, 26.190 s
000000010432.jpg, 0, 3, 1, 0.079 s
000000010432.jpg, 0, 3, 1, 3.968 s
000000010432.jpg, 0, 3, 2, 9.623 s
000000010432.jpg, 0, 3, 2, 9.751 s
000000010432.jpg, 0, 4, 0, 9.823 s
000000010432.jpg, 0, 4, 1, 0.840 s
000000010432.jpg, 0, 4, 2, 10.855 s
000000010432.jpg, 0, 4, 3, 7.639 s
000000010432.jpg, 0, 5, 0, 6.734 s
000000010432.jpg, 0, 5, 1, 5.839 s
000000010432.jpg, 0, 5, 2, 5.383 s
000000010432.jpg, 0, 5, 3, 24.679 s
000000010432.jpg, 0, 5, 4, 14.000 s
'000000010432.jpg', 250.668
000000014824.jpg, 1, 1, 0, 17.550 s
000000014824.jpg, 1, 2, 0, 4.831 s
000000014824.jpg, 1, 2, 1, 3.016 s
000000014824.jpg, 1, 3, 0, 9.975 s
000000014824.jpg, 1, 3, 1, 2.360 s
000000014824.jpg, 1, 3, 2, 5.328 s
000000014824.jpg, 1, 4, 0, 2.247 s
000000014824.jpg, 1, 4, 0, 4.064 s
000000014824.jpg, 1, 4, 1, 6.246 s
000000014824.jpg, 1, 4, 2, 3.112 s
000000014824.jpg, 1, 4, 3, 2.720 s
000000014824.jpg, 1, 5, 0, 4.126 s
000000014824.jpg, 1, 5, 1, 4.240 s
000000014824.jpg, 1, 5, 2, 2.280 s
000000014824.jpg, 1, 5, 3, 2.551 s
000000014824.jpg, 1, 5, 4, 2.479 s
'000000014824.jpg', 86.879
000000022423.jpg, 2, 1, 0, 29.892 s
000000022423.jpg, 2, 2, 0, 6.464 s
000000022423.jpg, 2, 2, 0, 4.824 s
000000022423.jpg, 2, 2, 1, 2.775 s
000000022423.jpg, 2, 3, 0, 3.664 s
000000022423.jpg, 2, 3, 1, 3.512 s
000000022423.jpg, 2, 3, 2, 6.392 s
000000022423.jpg, 2, 4, 0, 2.728 s
000000022423.jpg, 2, 4, 1, 2.632 s
000000022423.jpg, 2, 4, 2, 12.391 s
000000022423.jpg, 2, 4, 3, 13.743 s
000000022423.jpg, 2, 4, 3, 16.872 s
000000022423.jpg, 2, 5, 0, 3.973 s
000000022423.jpg, 2, 5, 1, 2.888 s
000000022423.jpg, 2, 5, 2, 2.031 s
000000022423.jpg, 2, 5, 3, 13.904 s
000000022423.jpg, 2, 5, 4, 2.192 s
'000000022423.jpg', 126.980
000000023019.jpg, 3, 1, 0, 25.000 s
000000023019.jpg, 3, 2, 0, 5.207 s
000000023019.jpg, 3, 2, 1, 11.984 s
000000023019.jpg, 3, 3, 0, 4.327 s
000000023019.jpg, 3, 3, 1, 10.167 s
000000023019.jpg, 3, 3, 2, 6.799 s
000000023019.jpg, 3, 4, 0, 20.599 s
000000023019.jpg, 3, 4, 1, 6.200 s
000000023019.jpg, 3, 4, 2, 14.384 s
000000023019.jpg, 3, 4, 3, 7.487 s
000000023019.jpg, 3, 4, 3, 10.055 s
000000023019.jpg, 3, 4, 3, 3.983 s
000000023019.jpg, 3, 5, 0, 4.880 s
000000023019.jpg, 3, 5, 1, 12.544 s
000000023019.jpg, 3, 5, 2, 10.047 s
000000023019.jpg, 3, 5, 2, 6.680 s
000000023019.jpg, 3, 5, 3, 5.856 s
000000023019.jpg, 3, 5, 4, 2.383 s
'000000023019.jpg', 177.225
000000029255.jpg, 4, 1, 0, 9.321 s
