Time Log File
ImageName, CurreintImageIndex, CurrentColorStep, ActiveColorIndex, TimeElapsed s
000000010432.jpg, 0, 1, 0, 13.425 s
000000010432.jpg, 0, 2, 0, 24.087 s
000000010432.jpg, 0, 2, 1, 4.560 s
000000010432.jpg, 0, 1, 0, 18.819 s
000000010432.jpg, 0, 1, 0, 34.404 s
000000010432.jpg, 0, 1, 0, 36.756 s
000000010432.jpg, 0, 1, 0, 38.116 s
000000010432.jpg, 0, 1, 0, 2.469 s
000000010432.jpg, 0, 1, 0, 12.580 s
000000010432.jpg, 0, 2, 0, 8.759 s
000000010432.jpg, 0, 2, 1, 10.376 s
000000010432.jpg, 0, 3, 0, 3.559 s
000000010432.jpg, 0, 3, 1, 2.951 s
000000010432.jpg, 0, 3, 0, 22.882 s
000000010432.jpg, 0, 3, 2, 1.832 s
000000010432.jpg, 0, 3, 0, 9.440 s
000000010432.jpg, 0, 4, 0, 27.862 s
000000010432.jpg, 0, 4, 1, 1.568 s
000000010432.jpg, 0, 4, 2, 8.903 s
000000010432.jpg, 0, 4, 2, 6.848 s
000000010432.jpg, 0, 4, 3, 14.135 s
000000010432.jpg, 0, 5, 0, 6.919 s
000000010432.jpg, 0, 5, 1, 1.640 s
000000010432.jpg, 0, 5, 2, 6.223 s
000000010432.jpg, 0, 5, 3, 7.799 s
000000010432.jpg, 0, 5, 4, 5.326 s
'000000010432.jpg', 357.939
000000014824.jpg, 1, 1, 0, 12.168 s
000000014824.jpg, 1, 1, 0, 14.824 s
000000014824.jpg, 1, 2, 0, 2.847 s
000000014824.jpg, 1, 2, 1, 13.664 s
000000014824.jpg, 1, 3, 0, 6.367 s
000000014824.jpg, 1, 3, 1, 0.071 s
000000014824.jpg, 1, 3, 1, 2.024 s
000000014824.jpg, 1, 3, 1, 7.304 s
000000014824.jpg, 1, 3, 2, 1.999 s
000000014824.jpg, 1, 4, 0, 3.431 s
000000014824.jpg, 1, 4, 1, 1.255 s
000000014824.jpg, 1, 4, 2, 3.279 s
000000014824.jpg, 1, 4, 3, 1.767 s
000000014824.jpg, 1, 5, 0, 2.134 s
000000014824.jpg, 1, 5, 1, 2.735 s
000000014824.jpg, 1, 5, 2, 1.680 s
000000014824.jpg, 1, 5, 3, 1.887 s
000000014824.jpg, 1, 5, 4, 6.960 s
'000000014824.jpg', 87.184
000000022423.jpg, 2, 1, 0, 14.285 s
000000022423.jpg, 2, 2, 0, 1.672 s
000000022423.jpg, 2, 2, 1, 11.583 s
000000022423.jpg, 2, 3, 0, 4.071 s
000000022423.jpg, 2, 3, 1, 3.896 s
000000022423.jpg, 2, 3, 2, 2.856 s
000000022423.jpg, 2, 3, 2, 6.696 s
000000022423.jpg, 2, 3, 2, 9.856 s
000000022423.jpg, 2, 4, 0, 5.335 s
000000022423.jpg, 2, 4, 1, 1.615 s
000000022423.jpg, 2, 4, 2, 4.160 s
000000022423.jpg, 2, 4, 3, 5.888 s
000000022423.jpg, 2, 5, 0, 23.932 s
000000022423.jpg, 2, 5, 1, 7.359 s
000000022423.jpg, 2, 5, 2, 6.383 s
000000022423.jpg, 2, 5, 3, 3.575 s
000000022423.jpg, 2, 5, 4, 4.167 s
'000000022423.jpg', 116.133
000000023019.jpg, 3, 1, 0, 11.833 s
000000023019.jpg, 3, 1, 0, 15.305 s
000000023019.jpg, 3, 2, 0, 1.367 s
000000023019.jpg, 3, 2, 1, 2.576 s
000000023019.jpg, 3, 2, 1, 2.624 s
000000023019.jpg, 3, 3, 0, 1.174 s
000000023019.jpg, 3, 3, 1, 1.055 s
000000023019.jpg, 3, 3, 2, 3.672 s
000000023019.jpg, 3, 4, 0, 2.135 s
000000023019.jpg, 3, 4, 1, 0.984 s
000000023019.jpg, 3, 4, 2, 0.807 s
000000023019.jpg, 3, 4, 3, 1.295 s
000000023019.jpg, 3, 4, 3, 4.559 s
000000023019.jpg, 3, 5, 0, 1.663 s
000000023019.jpg, 3, 5, 1, 0.856 s
000000023019.jpg, 3, 5, 2, 0.615 s
000000023019.jpg, 3, 5, 3, 1.104 s
000000023019.jpg, 3, 5, 4, 0.743 s
'000000023019.jpg', 50.298
000000029255.jpg, 4, 1, 0, 9.953 s
000000029255.jpg, 4, 1, 0, 11.241 s
000000029255.jpg, 4, 1, 0, 13.233 s
000000029255.jpg, 4, 1, 0, 13.793 s
000000029255.jpg, 4, 2, 0, 1.088 s
000000029255.jpg, 4, 2, 1, 2.256 s
000000029255.jpg, 4, 3, 0, 1.318 s
000000029255.jpg, 4, 3, 1, 0.855 s
000000029255.jpg, 4, 3, 2, 5.728 s
000000029255.jpg, 4, 4, 0, 1.886 s
000000029255.jpg, 4, 4, 1, 1.655 s
000000029255.jpg, 4, 4, 2, 3.959 s
000000029255.jpg, 4, 4, 2, 0.889 s
000000029255.jpg, 4, 4, 3, 0.752 s
000000029255.jpg, 4, 4, 3, 1.576 s
000000029255.jpg, 4, 4, 3, 3.488 s
000000029255.jpg, 4, 5, 0, 2.534 s
000000029255.jpg, 4, 5, 1, 2.576 s
000000029255.jpg, 4, 5, 2, 1.112 s
000000029255.jpg, 4, 5, 3, 1.935 s
000000029255.jpg, 4, 5, 4, 2.255 s
000000029255.jpg, 4, 5, 4, 6.496 s
'000000029255.jpg', 70.923
000000034221.jpg, 5, 1, 0, 8.600 s
000000034221.jpg, 5, 2, 0, 1.559 s
000000034221.jpg, 5, 2, 1, 5.232 s
000000034221.jpg, 5, 3, 0, 1.543 s
000000034221.jpg, 5, 3, 1, 3.640 s
000000034221.jpg, 5, 3, 2, 11.703 s
000000034221.jpg, 5, 4, 0, 1.815 s
000000034221.jpg, 5, 4, 1, 1.559 s
000000034221.jpg, 5, 4, 2, 3.199 s
000000034221.jpg, 5, 4, 3, 4.408 s
000000034221.jpg, 5, 4, 2, 1.400 s
000000034221.jpg, 5, 4, 3, 2.599 s
000000034221.jpg, 5, 5, 0, 1.582 s
000000034221.jpg, 5, 5, 1, 1.423 s
000000034221.jpg, 5, 5, 2, 2.815 s
000000034221.jpg, 5, 5, 3, 2.751 s
000000034221.jpg, 5, 5, 3, 4.704 s
000000034221.jpg, 5, 5, 4, 2.647 s
'000000034221.jpg', 77.898
000000050735.jpg, 6, 1, 0, 26.890 s
000000050735.jpg, 6, 1, 0, 30.714 s
000000050735.jpg, 6, 1, 0, 35.074 s
000000050735.jpg, 6, 1, 0, 36.346 s
000000050735.jpg, 6, 2, 0, 3.542 s
000000050735.jpg, 6, 2, 1, 12.344 s
000000050735.jpg, 6, 3, 0, 4.215 s
000000050735.jpg, 6, 3, 1, 3.761 s
000000050735.jpg, 6, 3, 2, 5.710 s
000000050735.jpg, 6, 4, 0, 5.055 s
000000050735.jpg, 6, 4, 1, 2.655 s
000000050735.jpg, 6, 4, 2, 2.711 s
000000050735.jpg, 6, 4, 3, 4.823 s
000000050735.jpg, 6, 5, 0, 5.814 s
000000050735.jpg, 6, 5, 1, 2.040 s
000000050735.jpg, 6, 5, 2, 1.846 s
000000050735.jpg, 6, 5, 3, 5.895 s
000000050735.jpg, 6, 5, 4, 4.456 s
'000000050735.jpg', 112.756
000000056322.jpg, 7, 1, 0, 12.505 s
000000056322.jpg, 7, 1, 0, 21.232 s
000000056322.jpg, 7, 2, 0, 2.575 s
000000056322.jpg, 7, 2, 1, 6.791 s
000000056322.jpg, 7, 2, 1, 9.568 s
000000056322.jpg, 7, 3, 0, 7.118 s
000000056322.jpg, 7, 3, 1, 3.127 s
000000056322.jpg, 7, 3, 2, 6.496 s
000000056322.jpg, 7, 4, 0, 3.622 s
000000056322.jpg, 7, 4, 1, 4.159 s
000000056322.jpg, 7, 4, 2, 1.999 s
000000056322.jpg, 7, 4, 3, 10.471 s
000000056322.jpg, 7, 5, 0, 7.375 s
000000056322.jpg, 7, 5, 1, 1.152 s
000000056322.jpg, 7, 5, 2, 6.567 s
000000056322.jpg, 7, 5, 3, 5.247 s
000000056322.jpg, 7, 5, 4, 3.592 s
'000000056322.jpg', 100.801
000000062589.jpg, 8, 1, 0, 21.680 s
000000062589.jpg, 8, 1, 0, 31.999 s
000000062589.jpg, 8, 2, 0, 1.759 s
000000062589.jpg, 8, 2, 1, 5.272 s
000000062589.jpg, 8, 3, 0, 2.191 s
000000062589.jpg, 8, 3, 1, 2.711 s
000000062589.jpg, 8, 3, 2, 5.760 s
000000062589.jpg, 8, 3, 2, 9.711 s
000000062589.jpg, 8, 4, 0, 1.334 s
000000062589.jpg, 8, 4, 1, 1.527 s
000000062589.jpg, 8, 4, 2, 2.783 s
000000062589.jpg, 8, 4, 2, 1.664 s
000000062589.jpg, 8, 4, 3, 3.544 s
000000062589.jpg, 8, 5, 0, 1.863 s
000000062589.jpg, 8, 5, 1, 0.673 s
000000062589.jpg, 8, 5, 2, 4.807 s
000000062589.jpg, 8, 5, 3, 8.167 s
000000062589.jpg, 8, 5, 4, 5.383 s
'000000062589.jpg', 94.608
000000076930.jpg, 9, 1, 0, 23.714 s
000000076930.jpg, 9, 2, 0, 0.750 s
000000076930.jpg, 9, 2, 1, 3.367 s
000000076930.jpg, 9, 3, 0, 0.838 s
000000076930.jpg, 9, 3, 1, 0.615 s
000000076930.jpg, 9, 3, 2, 5.832 s
000000076930.jpg, 9, 4, 0, 1.607 s
000000076930.jpg, 9, 4, 1, 0.696 s
000000076930.jpg, 9, 4, 2, 2.008 s
000000076930.jpg, 9, 4, 3, 9.056 s
000000076930.jpg, 9, 5, 0, 7.134 s
000000076930.jpg, 9, 5, 1, 0.871 s
000000076930.jpg, 9, 5, 2, 1.911 s
'000000076930.jpg', 72.643
000000076930.jpg, 9, 5, 3, 0.936 s
000000076930.jpg, 9, 5, 4, 8.687 s
'000000076930.jpg', 16.097
000000083368.jpg, 10, 1, 0, 6.633 s
000000083368.jpg, 10, 2, 0, 2.974 s
000000083368.jpg, 10, 2, 1, 2.439 s
000000083368.jpg, 10, 3, 0, 1.271 s
000000083368.jpg, 10, 3, 1, 0.751 s
000000083368.jpg, 10, 3, 2, 5.463 s
000000083368.jpg, 10, 4, 0, 2.047 s
000000083368.jpg, 10, 4, 1, 0.591 s
000000083368.jpg, 10, 4, 2, 0.656 s
000000083368.jpg, 10, 4, 2, 1.760 s
000000083368.jpg, 10, 4, 3, 16.535 s
000000083368.jpg, 10, 5, 0, 4.056 s
000000083368.jpg, 10, 5, 1, 0.823 s
000000083368.jpg, 10, 5, 2, 1.096 s
000000083368.jpg, 10, 5, 3, 2.495 s
000000083368.jpg, 10, 5, 4, 3.183 s
'000000083368.jpg', 62.034
000000085269.jpg, 11, 1, 0, 22.031 s
000000085269.jpg, 11, 2, 0, 18.574 s
000000085269.jpg, 11, 2, 1, 16.664 s
000000085269.jpg, 11, 3, 0, 2.646 s
000000085269.jpg, 11, 3, 1, 12.511 s
000000085269.jpg, 11, 3, 2, 5.055 s
000000085269.jpg, 11, 4, 0, 4.287 s
000000085269.jpg, 11, 4, 1, 6.000 s
000000085269.jpg, 11, 4, 2, 13.175 s
000000085269.jpg, 11, 4, 2, 2.216 s
000000085269.jpg, 11, 4, 3, 2.895 s
000000085269.jpg, 11, 5, 0, 4.966 s
000000085269.jpg, 11, 5, 1, 9.624 s
000000085269.jpg, 11, 5, 2, 1.543 s
000000085269.jpg, 11, 5, 3, 3.440 s
000000085269.jpg, 11, 5, 4, 4.439 s
'000000085269.jpg', 184.865
000000109586.jpg, 12, 1, 0, 10.923 s
000000109586.jpg, 12, 2, 0, 2.367 s
000000109586.jpg, 12, 2, 1, 23.752 s
000000109586.jpg, 12, 2, 1, 28.416 s
000000109586.jpg, 12, 3, 0, 8.936 s
000000109586.jpg, 12, 3, 0, 10.399 s
000000109586.jpg, 12, 3, 0, 6.128 s
000000109586.jpg, 12, 3, 1, 6.759 s
000000109586.jpg, 12, 3, 2, 0.223 s
000000109586.jpg, 12, 4, 0, 3.743 s
000000109586.jpg, 12, 4, 1, 5.735 s
000000109586.jpg, 12, 4, 2, 1.223 s
000000109586.jpg, 12, 4, 3, 4.656 s
000000109586.jpg, 12, 5, 0, 9.039 s
000000109586.jpg, 12, 5, 1, 0.224 s
000000109586.jpg, 12, 5, 1, 5.488 s
000000109586.jpg, 12, 5, 2, 6.175 s
000000109586.jpg, 12, 5, 3, 3.840 s
000000109586.jpg, 12, 5, 4, 3.302 s
'000000109586.jpg', 136.093
000000109659.jpg, 13, 1, 0, 11.473 s
000000109659.jpg, 13, 2, 0, 1.503 s
000000109659.jpg, 13, 2, 1, 0.184 s
000000109659.jpg, 13, 2, 1, 15.351 s
000000109659.jpg, 13, 3, 0, 8.583 s
000000109659.jpg, 13, 3, 1, 32.063 s
000000109659.jpg, 13, 3, 2, 0.247 s
000000109659.jpg, 13, 4, 0, 45.231 s
000000109659.jpg, 13, 4, 1, 7.360 s
000000109659.jpg, 13, 4, 2, 1.799 s
000000109659.jpg, 13, 4, 2, 4.297 s
000000109659.jpg, 13, 4, 3, 4.800 s
000000109659.jpg, 13, 4, 3, 5.151 s
000000109659.jpg, 13, 5, 0, 3.575 s
000000109659.jpg, 13, 5, 0, 2.272 s
000000109659.jpg, 13, 5, 1, 6.079 s
000000109659.jpg, 13, 5, 2, 7.047 s
000000109659.jpg, 13, 5, 3, 2.064 s
000000109659.jpg, 13, 5, 4, 2.775 s
'000000109659.jpg', 165.058
000000112604.jpg, 14, 1, 0, 10.348 s
000000112604.jpg, 14, 1, 0, 12.692 s
000000112604.jpg, 14, 2, 0, 0.911 s
000000112604.jpg, 14, 2, 1, 0.162 s
000000112604.jpg, 14, 2, 1, 9.370 s
000000112604.jpg, 14, 3, 0, 2.736 s
000000112604.jpg, 14, 3, 1, 3.959 s
000000112604.jpg, 14, 3, 2, 0.663 s
000000112604.jpg, 14, 3, 0, 1.096 s
000000112604.jpg, 14, 3, 0, 2.895 s
000000112604.jpg, 14, 3, 1, 0.199 s
000000112604.jpg, 14, 3, 2, 1.639 s
000000112604.jpg, 14, 3, 2, 3.526 s
000000112604.jpg, 14, 3, 2, 5.975 s
000000112604.jpg, 14, 4, 0, 8.006 s
000000112604.jpg, 14, 4, 1, 1.016 s
000000112604.jpg, 14, 4, 2, 8.063 s
000000112604.jpg, 14, 4, 3, 5.431 s
000000112604.jpg, 14, 4, 3, 7.695 s
000000112604.jpg, 14, 5, 0, 4.399 s
000000112604.jpg, 14, 5, 1, 2.815 s
000000112604.jpg, 14, 5, 2, 3.424 s
000000112604.jpg, 14, 5, 3, 1.679 s
000000112604.jpg, 14, 5, 4, 2.143 s
000000112604.jpg, 14, 5, 4, 2.624 s
'000000112604.jpg', 90.117
000000119337.jpg, 15, 1, 0, 13.610 s
