Time Log File
ImageName, CurreintImageIndex, CurrentColorStep, ActiveColorIndex, TimeElapsed s
000000010432.jpg, 0, 1, 0, 57.337 s
000000010432.jpg, 0, 1, 0, 5.026 s
000000010432.jpg, 0, 1, 0, 7.770 s
000000010432.jpg, 0, 1, 0, 18.520 s
000000010432.jpg, 0, 2, 0, 15.222 s
000000010432.jpg, 0, 2, 1, 41.453 s
000000010432.jpg, 0, 3, 0, 11.887 s
000000010432.jpg, 0, 3, 1, 11.630 s
000000010432.jpg, 0, 3, 2, 4.966 s
000000010432.jpg, 0, 4, 0, 9.662 s
000000010432.jpg, 0, 4, 1, 14.888 s
000000010432.jpg, 0, 4, 2, 27.477 s
000000010432.jpg, 0, 4, 3, 11.952 s
000000010432.jpg, 0, 5, 0, 7.743 s
000000010432.jpg, 0, 5, 1, 12.711 s
000000010432.jpg, 0, 5, 2, 4.748 s
000000010432.jpg, 0, 5, 3, 5.736 s
000000010432.jpg, 0, 5, 4, 4.016 s
'000000010432.jpg', 328.881
000000014824.jpg, 1, 1, 0, 33.862 s
000000014824.jpg, 1, 2, 0, 12.264 s
000000014824.jpg, 1, 2, 1, 4.745 s
000000014824.jpg, 1, 2, 0, 7.591 s
000000014824.jpg, 1, 3, 0, 22.625 s
000000014824.jpg, 1, 3, 1, 14.037 s
000000014824.jpg, 1, 3, 2, 7.049 s
000000014824.jpg, 1, 4, 0, 12.631 s
000000014824.jpg, 1, 4, 0, 14.096 s
000000014824.jpg, 1, 4, 1, 6.377 s
000000014824.jpg, 1, 4, 2, 11.893 s
000000014824.jpg, 1, 4, 3, 10.840 s
000000014824.jpg, 1, 5, 0, 7.309 s
000000014824.jpg, 1, 5, 1, 12.607 s
000000014824.jpg, 1, 5, 2, 19.773 s
000000014824.jpg, 1, 5, 3, 6.568 s
000000014824.jpg, 1, 5, 4, 18.808 s
'000000014824.jpg', 232.885
000000022423.jpg, 2, 1, 0, 9.951 s
000000022423.jpg, 2, 2, 0, 10.066 s
000000022423.jpg, 2, 2, 1, 5.022 s
000000022423.jpg, 2, 3, 0, 18.937 s
000000022423.jpg, 2, 3, 1, 11.151 s
000000022423.jpg, 2, 3, 2, 5.518 s
000000022423.jpg, 2, 4, 0, 10.705 s
000000022423.jpg, 2, 4, 1, 6.199 s
000000022423.jpg, 2, 4, 2, 6.711 s
000000022423.jpg, 2, 4, 3, 5.640 s
000000022423.jpg, 2, 5, 0, 15.746 s
000000022423.jpg, 2, 5, 1, 14.671 s
000000022423.jpg, 2, 5, 2, 6.758 s
000000022423.jpg, 2, 5, 3, 7.078 s
000000022423.jpg, 2, 5, 4, 2.703 s
000000022423.jpg, 2, 5, 4, 4.896 s
000000022423.jpg, 2, 5, 4, 6.760 s
'000000022423.jpg', 160.993
