Time Log File
ImageName, CurreintImageIndex, CurrentColorStep, ActiveColorIndex, TimeElapsed s
000000010432.jpg, 0, 1, 0, 9.820 s
000000010432.jpg, 0, 2, 0, 3.864 s
000000010432.jpg, 0, 2, 1, 6.768 s
000000010432.jpg, 0, 1, 0, 55.349 s
000000010432.jpg, 0, 2, 0, 13.807 s
000000010432.jpg, 0, 2, 1, 25.239 s
000000010432.jpg, 0, 2, 1, 3.728 s
000000010432.jpg, 0, 3, 0, 4.360 s
000000010432.jpg, 0, 3, 0, 2.328 s
000000010432.jpg, 0, 3, 1, 3.904 s
000000010432.jpg, 0, 3, 2, 7.888 s
000000010432.jpg, 0, 4, 0, 10.471 s
000000010432.jpg, 0, 4, 0, 4.888 s
000000010432.jpg, 0, 4, 1, 15.885 s
000000010432.jpg, 0, 4, 2, 6.799 s
000000010432.jpg, 0, 4, 3, 24.863 s
000000010432.jpg, 0, 5, 0, 7.646 s
000000010432.jpg, 0, 5, 1, 9.400 s
000000010432.jpg, 0, 5, 2, 23.272 s
000000010432.jpg, 0, 5, 3, 9.744 s
000000010432.jpg, 0, 5, 4, 31.671 s
'000000010432.jpg', 548.689
000000014824.jpg, 1, 1, 0, 28.672 s
000000014824.jpg, 1, 2, 0, 4.815 s
000000014824.jpg, 1, 2, 1, 23.136 s
000000014824.jpg, 1, 3, 0, 11.607 s
000000014824.jpg, 1, 3, 1, 4.839 s
000000014824.jpg, 1, 3, 2, 24.150 s
000000014824.jpg, 1, 4, 0, 8.254 s
000000014824.jpg, 1, 4, 1, 7.247 s
000000014824.jpg, 1, 4, 2, 13.399 s
000000014824.jpg, 1, 4, 3, 17.383 s
000000014824.jpg, 1, 5, 0, 13.206 s
000000014824.jpg, 1, 5, 1, 8.504 s
000000014824.jpg, 1, 5, 2, 7.568 s
000000014824.jpg, 1, 5, 3, 4.623 s
000000014824.jpg, 1, 5, 4, 8.351 s
000000014824.jpg, 1, 5, 4, 9.527 s
'000000014824.jpg', 198.809
000000022423.jpg, 2, 1, 0, 21.629 s
000000022423.jpg, 2, 1, 0, 43.909 s
000000022423.jpg, 2, 2, 0, 3.511 s
000000022423.jpg, 2, 2, 1, 11.559 s
000000022423.jpg, 2, 3, 0, 6.199 s
000000022423.jpg, 2, 3, 1, 16.271 s
000000022423.jpg, 2, 3, 2, 6.847 s
000000022423.jpg, 2, 4, 0, 9.031 s
000000022423.jpg, 2, 4, 1, 5.200 s
000000022423.jpg, 2, 4, 2, 3.015 s
000000022423.jpg, 2, 4, 3, 13.927 s
000000022423.jpg, 2, 5, 0, 6.725 s
000000022423.jpg, 2, 5, 1, 6.103 s
000000022423.jpg, 2, 5, 2, 2.552 s
000000022423.jpg, 2, 5, 3, 5.847 s
000000022423.jpg, 2, 5, 4, 25.119 s
'000000022423.jpg', 188.629
000000023019.jpg, 3, 1, 0, 18.660 s
000000023019.jpg, 3, 2, 0, 3.158 s
000000023019.jpg, 3, 2, 1, 18.991 s
000000023019.jpg, 3, 3, 0, 1.711 s
000000023019.jpg, 3, 3, 1, 12.696 s
000000023019.jpg, 3, 3, 2, 9.527 s
000000023019.jpg, 3, 4, 0, 3.919 s
000000023019.jpg, 3, 4, 1, 2.512 s
000000023019.jpg, 3, 4, 2, 13.655 s
000000023019.jpg, 3, 4, 3, 0.944 s
000000023019.jpg, 3, 4, 3, 6.488 s
000000023019.jpg, 3, 4, 3, 15.992 s
000000023019.jpg, 3, 4, 3, 19.896 s
000000023019.jpg, 3, 4, 3, 20.544 s
000000023019.jpg, 3, 5, 0, 7.087 s
000000023019.jpg, 3, 5, 1, 3.311 s
000000023019.jpg, 3, 5, 2, 5.280 s
000000023019.jpg, 3, 5, 3, 11.007 s
000000023019.jpg, 3, 5, 4, 8.671 s
'000000023019.jpg', 168.508
000000029255.jpg, 4, 1, 0, 8.803 s
000000029255.jpg, 4, 2, 0, 2.039 s
000000029255.jpg, 4, 2, 1, 8.494 s
000000029255.jpg, 4, 3, 0, 2.583 s
000000029255.jpg, 4, 3, 1, 8.255 s
000000029255.jpg, 4, 3, 2, 5.255 s
000000029255.jpg, 4, 3, 2, 6.367 s
000000029255.jpg, 4, 3, 2, 7.775 s
000000029255.jpg, 4, 3, 2, 8.455 s
000000029255.jpg, 4, 4, 0, 18.607 s
000000029255.jpg, 4, 4, 1, 18.263 s
000000029255.jpg, 4, 4, 2, 5.408 s
000000029255.jpg, 4, 4, 3, 7.312 s
000000029255.jpg, 4, 5, 0, 2.358 s
000000029255.jpg, 4, 5, 1, 2.688 s
000000029255.jpg, 4, 5, 2, 3.911 s
000000029255.jpg, 4, 5, 3, 5.495 s
000000029255.jpg, 4, 5, 4, 2.135 s
000000029255.jpg, 4, 5, 4, 10.263 s
'000000029255.jpg', 123.915
000000034221.jpg, 5, 1, 0, 7.995 s
000000034221.jpg, 5, 2, 0, 1.551 s
000000034221.jpg, 5, 2, 1, 1.079 s
000000034221.jpg, 5, 3, 0, 1.063 s
000000034221.jpg, 5, 3, 1, 0.927 s
000000034221.jpg, 5, 3, 2, 2.615 s
000000034221.jpg, 5, 4, 0, 1.431 s
000000034221.jpg, 5, 4, 1, 1.279 s
000000034221.jpg, 5, 4, 2, 0.855 s
000000034221.jpg, 5, 4, 3, 17.527 s
000000034221.jpg, 5, 5, 0, 0.968 s
000000034221.jpg, 5, 5, 1, 1.207 s
000000034221.jpg, 5, 5, 2, 2.191 s
000000034221.jpg, 5, 5, 3, 3.096 s
000000034221.jpg, 5, 5, 4, 3.087 s
'000000034221.jpg', 58.443
000000050735.jpg, 6, 1, 0, 3.476 s
000000050735.jpg, 6, 1, 0, 8.316 s
000000050735.jpg, 6, 2, 0, 1.208 s
000000050735.jpg, 6, 2, 1, 2.079 s
000000050735.jpg, 6, 3, 0, 2.231 s
000000050735.jpg, 6, 3, 1, 2.815 s
000000050735.jpg, 6, 3, 2, 2.423 s
000000050735.jpg, 6, 4, 0, 2.215 s
000000050735.jpg, 6, 4, 1, 2.616 s
000000050735.jpg, 6, 4, 2, 1.592 s
000000050735.jpg, 6, 4, 3, 4.399 s
000000050735.jpg, 6, 5, 0, 2.175 s
000000050735.jpg, 6, 5, 1, 1.944 s
000000050735.jpg, 6, 5, 2, 2.511 s
000000050735.jpg, 6, 5, 3, 5.007 s
000000050735.jpg, 6, 5, 4, 9.456 s
'000000050735.jpg', 70.717
000000056322.jpg, 7, 1, 0, 21.193 s
000000056322.jpg, 7, 1, 0, 29.962 s
000000056322.jpg, 7, 2, 0, 6.535 s
000000056322.jpg, 7, 2, 1, 2.623 s
000000056322.jpg, 7, 3, 0, 7.823 s
000000056322.jpg, 7, 3, 1, 5.623 s
000000056322.jpg, 7, 3, 2, 13.967 s
000000056322.jpg, 7, 4, 0, 6.567 s
000000056322.jpg, 7, 4, 1, 4.711 s
000000056322.jpg, 7, 4, 2, 4.864 s
000000056322.jpg, 7, 4, 3, 2.280 s
000000056322.jpg, 7, 5, 0, 4.783 s
000000056322.jpg, 7, 5, 1, 10.144 s
000000056322.jpg, 7, 5, 2, 2.543 s
000000056322.jpg, 7, 5, 3, 2.103 s
000000056322.jpg, 7, 5, 4, 3.671 s
'000000056322.jpg', 120.875
000000062589.jpg, 8, 1, 0, 2.064 s
000000062589.jpg, 8, 2, 0, 2.063 s
000000062589.jpg, 8, 2, 1, 7.031 s
000000062589.jpg, 8, 3, 0, 5.719 s
000000062589.jpg, 8, 3, 1, 12.655 s
000000062589.jpg, 8, 3, 2, 11.432 s
000000062589.jpg, 8, 4, 0, 5.079 s
000000062589.jpg, 8, 4, 1, 2.607 s
000000062589.jpg, 8, 4, 2, 3.975 s
000000062589.jpg, 8, 4, 3, 5.031 s
000000062589.jpg, 8, 5, 0, 2.575 s
000000062589.jpg, 8, 5, 1, 2.015 s
000000062589.jpg, 8, 5, 2, 5.103 s
000000062589.jpg, 8, 5, 3, 10.775 s
000000062589.jpg, 8, 5, 4, 1.927 s
'000000062589.jpg', 87.857
000000076930.jpg, 9, 1, 0, 19.257 s
000000076930.jpg, 9, 2, 0, 1.591 s
000000076930.jpg, 9, 2, 1, 4.999 s
000000076930.jpg, 9, 3, 0, 2.990 s
000000076930.jpg, 9, 3, 1, 9.903 s
000000076930.jpg, 9, 3, 2, 7.255 s
000000076930.jpg, 9, 4, 0, 4.504 s
000000076930.jpg, 9, 4, 1, 3.455 s
000000076930.jpg, 9, 4, 2, 2.695 s
000000076930.jpg, 9, 4, 3, 3.247 s
000000076930.jpg, 9, 5, 0, 3.750 s
000000076930.jpg, 9, 5, 1, 1.544 s
000000076930.jpg, 9, 5, 2, 3.544 s
000000076930.jpg, 9, 5, 3, 1.768 s
000000076930.jpg, 9, 5, 4, 7.135 s
'000000076930.jpg', 84.274
000000083368.jpg, 10, 1, 0, 6.162 s
000000083368.jpg, 10, 2, 0, 2.224 s
000000083368.jpg, 10, 2, 1, 5.696 s
000000083368.jpg, 10, 3, 0, 1.471 s
000000083368.jpg, 10, 3, 1, 1.144 s
000000083368.jpg, 10, 3, 2, 4.848 s
000000083368.jpg, 10, 4, 0, 2.615 s
000000083368.jpg, 10, 4, 1, 0.880 s
000000083368.jpg, 10, 4, 2, 1.480 s
000000083368.jpg, 10, 4, 3, 9.535 s
000000083368.jpg, 10, 4, 3, 13.376 s
000000083368.jpg, 10, 4, 3, 18.640 s
000000083368.jpg, 10, 5, 0, 4.239 s
000000083368.jpg, 10, 5, 1, 1.447 s
000000083368.jpg, 10, 5, 2, 1.230 s
000000083368.jpg, 10, 5, 3, 4.343 s
000000083368.jpg, 10, 5, 3, 2.144 s
000000083368.jpg, 10, 5, 4, 1.608 s
000000083368.jpg, 10, 5, 4, 11.271 s
'000000083368.jpg', 86.787
000000085269.jpg, 11, 1, 0, 11.378 s
000000085269.jpg, 11, 2, 0, 5.511 s
000000085269.jpg, 11, 2, 1, 11.919 s
000000085269.jpg, 11, 3, 0, 11.767 s
000000085269.jpg, 11, 3, 1, 5.896 s
000000085269.jpg, 11, 3, 2, 5.776 s
000000085269.jpg, 11, 3, 2, 22.128 s
000000085269.jpg, 11, 4, 0, 7.527 s
000000085269.jpg, 11, 4, 1, 7.872 s
000000085269.jpg, 11, 4, 2, 4.080 s
000000085269.jpg, 11, 4, 3, 4.159 s
000000085269.jpg, 11, 4, 3, 11.175 s
000000085269.jpg, 11, 5, 0, 5.263 s
000000085269.jpg, 11, 5, 1, 5.823 s
000000085269.jpg, 11, 5, 2, 7.535 s
000000085269.jpg, 11, 5, 3, 8.022 s
000000085269.jpg, 11, 5, 4, 4.256 s
'000000085269.jpg', 137.642
000000109586.jpg, 12, 1, 0, 8.454 s
000000109586.jpg, 12, 2, 0, 0.999 s
000000109586.jpg, 12, 2, 1, 7.968 s
000000109586.jpg, 12, 3, 0, 7.831 s
000000109586.jpg, 12, 3, 1, 38.295 s
000000109586.jpg, 12, 3, 2, 4.575 s
000000109586.jpg, 12, 4, 0, 1.470 s
000000109586.jpg, 12, 4, 1, 2.744 s
000000109586.jpg, 12, 4, 2, 8.007 s
000000109586.jpg, 12, 4, 3, 7.560 s
000000109586.jpg, 12, 5, 0, 3.311 s
000000109586.jpg, 12, 5, 1, 1.887 s
000000109586.jpg, 12, 5, 2, 4.280 s
000000109586.jpg, 12, 5, 3, 18.079 s
000000109586.jpg, 12, 5, 4, 4.575 s
'000000109586.jpg', 130.991
000000109659.jpg, 13, 1, 0, 8.986 s
000000109659.jpg, 13, 2, 0, 16.486 s
000000109659.jpg, 13, 2, 1, 14.288 s
000000109659.jpg, 13, 3, 0, 1.254 s
000000109659.jpg, 13, 3, 1, 3.879 s
000000109659.jpg, 13, 3, 2, 12.231 s
000000109659.jpg, 13, 4, 0, 0.590 s
000000109659.jpg, 13, 4, 1, 3.216 s
000000109659.jpg, 13, 4, 2, 3.392 s
000000109659.jpg, 13, 4, 3, 7.599 s
000000109659.jpg, 13, 5, 0, 1.119 s
000000109659.jpg, 13, 5, 1, 5.455 s
000000109659.jpg, 13, 5, 2, 2.047 s
000000109659.jpg, 13, 5, 3, 7.024 s
000000109659.jpg, 13, 5, 4, 5.111 s
'000000109659.jpg', 102.803
000000112604.jpg, 14, 1, 0, 8.829 s
000000112604.jpg, 14, 2, 0, 1.552 s
000000112604.jpg, 14, 2, 1, 3.703 s
000000112604.jpg, 14, 3, 0, 1.831 s
000000112604.jpg, 14, 3, 1, 2.239 s
000000112604.jpg, 14, 3, 2, 5.823 s
000000112604.jpg, 14, 4, 0, 1.151 s
000000112604.jpg, 14, 4, 1, 7.231 s
000000112604.jpg, 14, 4, 2, 3.255 s
000000112604.jpg, 14, 4, 3, 3.295 s
000000112604.jpg, 14, 5, 0, 1.439 s
000000112604.jpg, 14, 5, 1, 2.959 s
000000112604.jpg, 14, 5, 2, 2.990 s
000000112604.jpg, 14, 5, 3, 6.792 s
000000112604.jpg, 14, 5, 4, 4.375 s
'000000112604.jpg', 62.830
000000119337.jpg, 15, 1, 0, 14.724 s
000000119337.jpg, 15, 2, 0, 1.231 s
000000119337.jpg, 15, 2, 1, 2.712 s
000000119337.jpg, 15, 3, 0, 3.703 s
000000119337.jpg, 15, 3, 1, 1.807 s
000000119337.jpg, 15, 3, 2, 1.775 s
000000119337.jpg, 15, 4, 0, 4.631 s
000000119337.jpg, 15, 4, 1, 1.959 s
000000119337.jpg, 15, 4, 2, 1.448 s
000000119337.jpg, 15, 4, 3, 8.408 s
000000119337.jpg, 15, 5, 0, 5.942 s
000000119337.jpg, 15, 5, 1, 1.503 s
000000119337.jpg, 15, 5, 2, 1.423 s
000000119337.jpg, 15, 5, 3, 3.463 s
000000119337.jpg, 15, 5, 4, 6.735 s
'000000119337.jpg', 69.492
000000120148.jpg, 16, 1, 0, 23.611 s
000000120148.jpg, 16, 2, 0, 1.111 s
000000120148.jpg, 16, 2, 1, 4.831 s
000000120148.jpg, 16, 3, 0, 1.159 s
000000120148.jpg, 16, 3, 1, 3.520 s
000000120148.jpg, 16, 3, 2, 7.247 s
000000120148.jpg, 16, 3, 2, 15.144 s
000000120148.jpg, 16, 4, 0, 0.559 s
000000120148.jpg, 16, 4, 1, 6.640 s
000000120148.jpg, 16, 4, 2, 13.759 s
000000120148.jpg, 16, 4, 3, 3.495 s
000000120148.jpg, 16, 5, 0, 1.415 s
000000120148.jpg, 16, 5, 1, 2.511 s
000000120148.jpg, 16, 5, 2, 5.535 s
000000120148.jpg, 16, 5, 3, 6.351 s
000000120148.jpg, 16, 5, 4, 5.919 s
'000000120148.jpg', 101.341
000000136811.jpg, 17, 1, 0, 11.753 s
000000136811.jpg, 17, 2, 0, 1.071 s
000000136811.jpg, 17, 2, 1, 2.615 s
000000136811.jpg, 17, 3, 0, 4.239 s
000000136811.jpg, 17, 3, 1, 1.335 s
000000136811.jpg, 17, 3, 2, 8.471 s
000000136811.jpg, 17, 4, 0, 2.071 s
000000136811.jpg, 17, 4, 1, 2.128 s
000000136811.jpg, 17, 4, 2, 2.728 s
000000136811.jpg, 17, 4, 3, 11.232 s
000000136811.jpg, 17, 5, 0, 1.295 s
000000136811.jpg, 17, 5, 1, 3.032 s
000000136811.jpg, 17, 5, 2, 1.767 s
000000136811.jpg, 17, 5, 3, 3.143 s
000000136811.jpg, 17, 5, 4, 2.695 s
'000000136811.jpg', 64.098
000000149833.jpg, 18, 1, 0, 8.170 s
000000149833.jpg, 18, 2, 0, 5.639 s
000000149833.jpg, 18, 2, 1, 6.591 s
000000149833.jpg, 18, 3, 0, 2.695 s
000000149833.jpg, 18, 3, 1, 6.583 s
000000149833.jpg, 18, 3, 2, 4.215 s
000000149833.jpg, 18, 4, 0, 1.879 s
000000149833.jpg, 18, 4, 1, 6.527 s
