Time Log File
ImageName, CurreintImageIndex, CurrentColorStep, ActiveColorIndex, TimeElapsed s
000000010432.jpg, 0, 1, 0, 48.256 s
000000010432.jpg, 0, 2, 0, 36.971 s
000000010432.jpg, 0, 2, 1, 8.455 s
000000010432.jpg, 0, 2, 0, 1.753 s
000000010432.jpg, 0, 3, 0, 0.816 s
000000010432.jpg, 0, 3, 1, 0.439 s
000000010432.jpg, 0, 3, 2, 0.407 s
000000010432.jpg, 0, 3, 0, 0.905 s
000000010432.jpg, 0, 1, 0, 28.602 s
000000010432.jpg, 0, 2, 0, 6.691 s
000000010432.jpg, 0, 2, 1, 20.975 s
000000010432.jpg, 0, 3, 0, 8.043 s
000000010432.jpg, 0, 3, 1, 7.007 s
000000010432.jpg, 0, 3, 2, 43.230 s
000000010432.jpg, 0, 4, 0, 8.267 s
000000010432.jpg, 0, 4, 1, 14.799 s
000000010432.jpg, 0, 4, 2, 10.246 s
000000010432.jpg, 0, 4, 3, 32.672 s
000000010432.jpg, 0, 5, 0, 19.499 s
000000010432.jpg, 0, 5, 1, 9.735 s
000000010432.jpg, 0, 5, 2, 6.167 s
000000010432.jpg, 0, 5, 3, 2.830 s
000000010432.jpg, 0, 5, 4, 27.600 s
'000000010432.jpg', 399.193
000000014824.jpg, 1, 1, 0, 36.193 s
000000014824.jpg, 1, 2, 0, 8.635 s
000000014824.jpg, 1, 2, 1, 14.064 s
000000014824.jpg, 1, 3, 0, 7.843 s
000000014824.jpg, 1, 3, 1, 3.015 s
000000014824.jpg, 1, 3, 2, 11.102 s
000000014824.jpg, 1, 4, 0, 6.082 s
000000014824.jpg, 1, 4, 1, 6.664 s
000000014824.jpg, 1, 4, 2, 8.567 s
000000014824.jpg, 1, 4, 3, 7.110 s
000000014824.jpg, 1, 5, 0, 19.443 s
000000014824.jpg, 1, 5, 1, 13.279 s
000000014824.jpg, 1, 5, 2, 7.806 s
000000014824.jpg, 1, 5, 3, 2.176 s
000000014824.jpg, 1, 5, 4, 20.175 s
'000000014824.jpg', 203.940
000000022423.jpg, 2, 1, 0, 12.384 s
000000022423.jpg, 2, 2, 0, 2.236 s
000000022423.jpg, 2, 2, 1, 1.895 s
000000022423.jpg, 2, 2, 1, 2.471 s
000000022423.jpg, 2, 2, 0, 2.433 s
000000022423.jpg, 2, 2, 1, 10.304 s
000000022423.jpg, 2, 3, 0, 2.420 s
000000022423.jpg, 2, 3, 1, 3.911 s
000000022423.jpg, 2, 3, 2, 23.023 s
000000022423.jpg, 2, 4, 0, 12.091 s
000000022423.jpg, 2, 4, 1, 6.327 s
000000022423.jpg, 2, 4, 2, 5.575 s
000000022423.jpg, 2, 4, 3, 10.639 s
000000022423.jpg, 2, 5, 0, 16.170 s
000000022423.jpg, 2, 5, 0, 3.674 s
000000022423.jpg, 2, 5, 1, 2.831 s
