Time Log File
ImageName, CurreintImageIndex, CurrentColorStep, ActiveColorIndex, TimeElapsed s
000000010432.jpg, 0, 1, 0, 24.714 s
000000010432.jpg, 0, 2, 0, 5.635 s
000000010432.jpg, 0, 2, 1, 4.295 s
000000010432.jpg, 0, 3, 0, 1.603 s
000000010432.jpg, 0, 3, 1, 0.415 s
000000010432.jpg, 0, 3, 2, 0.511 s
000000010432.jpg, 0, 3, 0, 1.113 s
000000010432.jpg, 0, 3, 1, 0.432 s
000000010432.jpg, 0, 3, 0, 2.169 s
000000010432.jpg, 0, 1, 0, 3.329 s
000000010432.jpg, 0, 1, 0, 4.985 s
000000010432.jpg, 0, 2, 0, 6.360 s
000000010432.jpg, 0, 2, 1, 24.631 s
000000010432.jpg, 0, 3, 0, 11.664 s
000000010432.jpg, 0, 3, 1, 21.167 s
000000010432.jpg, 0, 3, 2, 7.055 s
000000010432.jpg, 0, 3, 2, 7.695 s
000000010432.jpg, 0, 3, 2, 2.169 s
000000010432.jpg, 0, 3, 2, 2.825 s
000000010432.jpg, 0, 4, 0, 6.896 s
000000010432.jpg, 0, 4, 1, 7.543 s
000000010432.jpg, 0, 4, 2, 7.775 s
000000010432.jpg, 0, 4, 3, 23.839 s
000000010432.jpg, 0, 5, 0, 9.352 s
000000010432.jpg, 0, 5, 1, 22.830 s
000000010432.jpg, 0, 5, 2, 12.823 s
000000010432.jpg, 0, 5, 3, 8.943 s
000000010432.jpg, 0, 5, 4, 12.127 s
'000000010432.jpg', 302.943
000000014824.jpg, 1, 1, 0, 11.087 s
000000014824.jpg, 1, 2, 0, 3.432 s
000000014824.jpg, 1, 2, 1, 6.159 s
000000014824.jpg, 1, 3, 0, 6.920 s
000000014824.jpg, 1, 3, 1, 5.598 s
000000014824.jpg, 1, 3, 2, 6.848 s
000000014824.jpg, 1, 4, 0, 10.544 s
000000014824.jpg, 1, 4, 1, 6.847 s
000000014824.jpg, 1, 4, 2, 5.062 s
000000014824.jpg, 1, 4, 3, 0.376 s
000000014824.jpg, 1, 4, 3, 11.007 s
000000014824.jpg, 1, 5, 0, 7.512 s
000000014824.jpg, 1, 5, 1, 7.303 s
000000014824.jpg, 1, 5, 2, 3.535 s
000000014824.jpg, 1, 5, 3, 5.615 s
000000014824.jpg, 1, 5, 4, 19.895 s
'000000014824.jpg', 128.854
000000022423.jpg, 2, 1, 0, 14.844 s
000000022423.jpg, 2, 2, 0, 2.712 s
000000022423.jpg, 2, 2, 1, 14.326 s
000000022423.jpg, 2, 3, 0, 11.984 s
000000022423.jpg, 2, 3, 1, 13.351 s
000000022423.jpg, 2, 3, 2, 19.711 s
000000022423.jpg, 2, 4, 0, 8.280 s
000000022423.jpg, 2, 4, 1, 5.039 s
000000022423.jpg, 2, 4, 2, 14.487 s
000000022423.jpg, 2, 4, 3, 21.031 s
000000022423.jpg, 2, 5, 0, 8.711 s
000000022423.jpg, 2, 5, 1, 11.399 s
000000022423.jpg, 2, 5, 2, 8.720 s
000000022423.jpg, 2, 5, 3, 14.342 s
000000022423.jpg, 2, 5, 4, 22.943 s
'000000022423.jpg', 200.555
000000023019.jpg, 3, 1, 0, 11.914 s
000000023019.jpg, 3, 2, 0, 2.344 s
000000023019.jpg, 3, 2, 1, 15.447 s
000000023019.jpg, 3, 3, 0, 9.375 s
