Time Log File
ImageName, CurreintImageIndex, CurrentColorStep, ActiveColorIndex, TimeElapsed s
000000010432.jpg, 0, 1, 0, 22.277 s
000000010432.jpg, 0, 2, 0, 6.111 s
000000010432.jpg, 0, 2, 1, 19.188 s
000000010432.jpg, 0, 3, 0, 10.574 s
000000010432.jpg, 0, 3, 1, 8.029 s
000000010432.jpg, 0, 3, 2, 17.243 s
000000010432.jpg, 0, 4, 0, 3.032 s
000000010432.jpg, 0, 4, 1, 4.763 s
000000010432.jpg, 0, 4, 2, 4.547 s
000000010432.jpg, 0, 4, 3, 31.460 s
000000010432.jpg, 0, 4, 3, 33.797 s
000000010432.jpg, 0, 4, 3, 35.733 s
000000010432.jpg, 0, 4, 3, 36.579 s
000000010432.jpg, 0, 4, 3, 38.533 s
000000010432.jpg, 0, 4, 3, 38.981 s
000000010432.jpg, 0, 4, 3, 41.508 s
000000010432.jpg, 0, 5, 0, 3.327 s
000000010432.jpg, 0, 5, 1, 0.496 s
000000010432.jpg, 0, 5, 0, 1.356 s
000000010432.jpg, 0, 5, 1, 0.925 s
000000010432.jpg, 0, 5, 1, 3.815 s
000000010432.jpg, 0, 5, 2, 2.747 s
000000010432.jpg, 0, 5, 3, 4.842 s
000000010432.jpg, 0, 5, 4, 9.124 s
'000000010432.jpg', 178.555
000000014824.jpg, 1, 1, 0, 32.232 s
000000014824.jpg, 1, 2, 0, 1.550 s
000000014824.jpg, 1, 2, 1, 6.356 s
000000014824.jpg, 1, 3, 0, 3.453 s
000000014824.jpg, 1, 3, 1, 2.114 s
000000014824.jpg, 1, 3, 2, 11.541 s
000000014824.jpg, 1, 4, 0, 3.804 s
000000014824.jpg, 1, 4, 1, 4.172 s
000000014824.jpg, 1, 4, 2, 12.667 s
000000014824.jpg, 1, 4, 3, 6.860 s
000000014824.jpg, 1, 4, 3, 7.812 s
000000014824.jpg, 1, 4, 3, 8.492 s
000000014824.jpg, 1, 4, 3, 10.410 s
000000014824.jpg, 1, 5, 0, 3.660 s
000000014824.jpg, 1, 5, 1, 1.972 s
000000014824.jpg, 1, 5, 2, 5.700 s
000000014824.jpg, 1, 5, 3, 3.364 s
000000014824.jpg, 1, 5, 4, 16.907 s
'000000014824.jpg', 125.819
000000022423.jpg, 2, 1, 0, 14.998 s
000000022423.jpg, 2, 2, 0, 1.572 s
000000022423.jpg, 2, 2, 1, 4.842 s
000000022423.jpg, 2, 3, 0, 7.759 s
000000022423.jpg, 2, 3, 1, 7.875 s
000000022423.jpg, 2, 3, 2, 12.572 s
000000022423.jpg, 2, 4, 0, 5.426 s
000000022423.jpg, 2, 4, 0, 2.584 s
000000022423.jpg, 2, 4, 1, 6.540 s
000000022423.jpg, 2, 4, 2, 7.844 s
000000022423.jpg, 2, 4, 3, 16.434 s
000000022423.jpg, 2, 5, 0, 6.316 s
000000022423.jpg, 2, 5, 1, 7.612 s
000000022423.jpg, 2, 5, 2, 6.460 s
000000022423.jpg, 2, 5, 3, 12.882 s
000000022423.jpg, 2, 5, 4, 9.669 s
'000000022423.jpg', 142.002
000000023019.jpg, 3, 1, 0, 20.911 s
000000023019.jpg, 3, 2, 0, 2.116 s
000000023019.jpg, 3, 2, 1, 15.252 s
000000023019.jpg, 3, 3, 0, 8.860 s
000000023019.jpg, 3, 3, 1, 12.571 s
000000023019.jpg, 3, 3, 2, 22.492 s
000000023019.jpg, 3, 4, 0, 9.676 s
000000023019.jpg, 3, 4, 1, 10.131 s
000000023019.jpg, 3, 4, 2, 30.972 s
000000023019.jpg, 3, 4, 3, 10.300 s
000000023019.jpg, 3, 5, 0, 5.782 s
000000023019.jpg, 3, 5, 1, 2.916 s
000000023019.jpg, 3, 5, 2, 3.372 s
000000023019.jpg, 3, 5, 3, 5.547 s
000000023019.jpg, 3, 5, 4, 18.084 s
'000000023019.jpg', 186.112
000000029255.jpg, 4, 1, 0, 28.755 s
000000029255.jpg, 4, 2, 0, 1.428 s
000000029255.jpg, 4, 2, 1, 26.166 s
000000029255.jpg, 4, 3, 0, 5.206 s
000000029255.jpg, 4, 3, 1, 4.220 s
000000029255.jpg, 4, 3, 2, 9.501 s
000000029255.jpg, 4, 4, 0, 3.853 s
000000029255.jpg, 4, 4, 1, 10.228 s
000000029255.jpg, 4, 4, 2, 9.652 s
000000029255.jpg, 4, 4, 3, 11.853 s
000000029255.jpg, 4, 5, 0, 3.325 s
000000029255.jpg, 4, 5, 1, 4.764 s
000000029255.jpg, 4, 5, 2, 5.261 s
000000029255.jpg, 4, 5, 3, 2.099 s
000000029255.jpg, 4, 5, 4, 17.860 s
'000000029255.jpg', 149.213
000000034221.jpg, 5, 1, 0, 7.060 s
000000034221.jpg, 5, 2, 0, 1.936 s
000000034221.jpg, 5, 2, 1, 22.150 s
000000034221.jpg, 5, 3, 0, 1.626 s
000000034221.jpg, 5, 3, 1, 2.212 s
000000034221.jpg, 5, 3, 2, 7.002 s
000000034221.jpg, 5, 4, 0, 1.726 s
000000034221.jpg, 5, 4, 1, 4.709 s
000000034221.jpg, 5, 4, 2, 2.523 s
000000034221.jpg, 5, 4, 3, 4.588 s
000000034221.jpg, 5, 5, 0, 5.036 s
000000034221.jpg, 5, 5, 1, 2.395 s
000000034221.jpg, 5, 5, 2, 1.739 s
000000034221.jpg, 5, 5, 3, 7.149 s
000000034221.jpg, 5, 5, 4, 6.979 s
'000000034221.jpg', 85.990
000000050735.jpg, 6, 1, 0, 9.850 s
000000050735.jpg, 6, 2, 0, 1.223 s
000000050735.jpg, 6, 2, 1, 1.917 s
000000050735.jpg, 6, 3, 0, 1.999 s
000000050735.jpg, 6, 3, 1, 1.171 s
000000050735.jpg, 6, 3, 2, 18.374 s
000000050735.jpg, 6, 4, 0, 5.142 s
000000050735.jpg, 6, 4, 1, 4.300 s
000000050735.jpg, 6, 4, 2, 4.684 s
000000050735.jpg, 6, 4, 3, 2.876 s
000000050735.jpg, 6, 5, 0, 6.390 s
000000050735.jpg, 6, 5, 1, 1.940 s
000000050735.jpg, 6, 5, 2, 3.164 s
000000050735.jpg, 6, 5, 3, 3.963 s
000000050735.jpg, 6, 5, 4, 7.973 s
'000000050735.jpg', 80.717
000000056322.jpg, 7, 1, 0, 5.527 s
000000056322.jpg, 7, 2, 0, 1.647 s
000000056322.jpg, 7, 2, 1, 6.336 s
000000056322.jpg, 7, 3, 0, 1.806 s
000000056322.jpg, 7, 3, 1, 8.365 s
000000056322.jpg, 7, 3, 2, 7.011 s
000000056322.jpg, 7, 4, 0, 3.023 s
000000056322.jpg, 7, 4, 1, 7.292 s
000000056322.jpg, 7, 4, 2, 12.156 s
000000056322.jpg, 7, 4, 3, 27.268 s
000000056322.jpg, 7, 5, 0, 2.333 s
000000056322.jpg, 7, 5, 1, 12.372 s
000000056322.jpg, 7, 5, 2, 13.219 s
000000056322.jpg, 7, 5, 3, 9.595 s
000000056322.jpg, 7, 5, 4, 4.300 s
'000000056322.jpg', 131.531
000000062589.jpg, 8, 1, 0, 2.707 s
000000062589.jpg, 8, 1, 0, 4.611 s
000000062589.jpg, 8, 1, 0, 5.010 s
