Time Log File
ImageName, CurreintImageIndex, CurrentColorStep, ActiveColorIndex, TimeElapsed s
000000010432.jpg, 0, 1, 0, 20.224 s
000000010432.jpg, 0, 2, 0, 10.404 s
000000010432.jpg, 0, 2, 1, 12.994 s
000000010432.jpg, 0, 3, 0, 14.102 s
000000010432.jpg, 0, 3, 1, 5.437 s
000000010432.jpg, 0, 3, 2, 5.357 s
000000010432.jpg, 0, 4, 0, 6.498 s
000000010432.jpg, 0, 4, 1, 3.926 s
000000010432.jpg, 0, 4, 2, 4.186 s
000000010432.jpg, 0, 4, 3, 12.130 s
000000010432.jpg, 0, 5, 0, 4.429 s
000000010432.jpg, 0, 5, 1, 3.613 s
000000010432.jpg, 0, 5, 2, 4.805 s
000000010432.jpg, 0, 5, 3, 2.046 s
000000010432.jpg, 0, 5, 4, 28.372 s
'000000010432.jpg', 160.813
000000014824.jpg, 1, 1, 0, 11.503 s
000000014824.jpg, 1, 2, 0, 4.781 s
000000014824.jpg, 1, 2, 1, 11.156 s
000000014824.jpg, 1, 3, 0, 1.867 s
000000014824.jpg, 1, 3, 1, 5.904 s
000000014824.jpg, 1, 3, 2, 8.190 s
000000014824.jpg, 1, 4, 0, 3.518 s
000000014824.jpg, 1, 4, 1, 5.110 s
000000014824.jpg, 1, 4, 2, 10.734 s
000000014824.jpg, 1, 4, 3, 16.830 s
000000014824.jpg, 1, 5, 0, 4.781 s
000000014824.jpg, 1, 5, 1, 3.934 s
000000014824.jpg, 1, 5, 2, 8.031 s
000000014824.jpg, 1, 5, 3, 12.622 s
000000014824.jpg, 1, 5, 4, 11.220 s
'000000014824.jpg', 143.026
000000022423.jpg, 2, 1, 0, 13.623 s
000000022423.jpg, 2, 2, 0, 1.957 s
000000022423.jpg, 2, 2, 1, 5.967 s
000000022423.jpg, 2, 3, 0, 4.174 s
000000022423.jpg, 2, 3, 1, 8.806 s
000000022423.jpg, 2, 3, 2, 14.070 s
000000022423.jpg, 2, 4, 0, 7.107 s
000000022423.jpg, 2, 4, 1, 6.422 s
000000022423.jpg, 2, 4, 2, 14.950 s
000000022423.jpg, 2, 4, 3, 16.133 s
000000022423.jpg, 2, 4, 3, 25.605 s
000000022423.jpg, 2, 5, 0, 9.389 s
000000022423.jpg, 2, 5, 1, 8.253 s
000000022423.jpg, 2, 5, 2, 7.484 s
000000022423.jpg, 2, 5, 3, 8.951 s
000000022423.jpg, 2, 5, 4, 15.699 s
'000000022423.jpg', 170.406
000000023019.jpg, 3, 1, 0, 17.069 s
000000023019.jpg, 3, 2, 0, 16.973 s
000000023019.jpg, 3, 2, 1, 6.238 s
000000023019.jpg, 3, 3, 0, 1.725 s
000000023019.jpg, 3, 3, 1, 1.366 s
000000023019.jpg, 3, 3, 2, 5.150 s
000000023019.jpg, 3, 4, 0, 5.478 s
000000023019.jpg, 3, 4, 1, 3.695 s
000000023019.jpg, 3, 4, 2, 6.779 s
000000023019.jpg, 3, 4, 3, 9.013 s
000000023019.jpg, 3, 5, 0, 2.599 s
000000023019.jpg, 3, 5, 1, 4.048 s
000000023019.jpg, 3, 5, 2, 3.678 s
000000023019.jpg, 3, 5, 3, 4.165 s
000000023019.jpg, 3, 5, 4, 16.494 s
'000000023019.jpg', 117.877
000000029255.jpg, 4, 1, 0, 13.030 s
000000029255.jpg, 4, 2, 0, 1.861 s
000000029255.jpg, 4, 2, 1, 5.486 s
000000029255.jpg, 4, 3, 0, 1.878 s
000000029255.jpg, 4, 3, 1, 2.901 s
000000029255.jpg, 4, 3, 2, 10.694 s
000000029255.jpg, 4, 4, 0, 1.373 s
000000029255.jpg, 4, 4, 1, 3.743 s
000000029255.jpg, 4, 4, 2, 13.653 s
000000029255.jpg, 4, 4, 3, 4.007 s
000000029255.jpg, 4, 5, 0, 1.589 s
000000029255.jpg, 4, 5, 1, 2.454 s
000000029255.jpg, 4, 5, 2, 1.903 s
000000029255.jpg, 4, 5, 3, 1.790 s
000000029255.jpg, 4, 5, 4, 9.846 s
'000000029255.jpg', 89.544
000000034221.jpg, 5, 1, 0, 4.319 s
000000034221.jpg, 5, 2, 0, 1.774 s
000000034221.jpg, 5, 2, 1, 8.031 s
000000034221.jpg, 5, 3, 0, 2.206 s
000000034221.jpg, 5, 3, 1, 3.726 s
000000034221.jpg, 5, 3, 2, 4.438 s
000000034221.jpg, 5, 4, 0, 1.894 s
000000034221.jpg, 5, 4, 1, 2.231 s
000000034221.jpg, 5, 4, 2, 5.695 s
000000034221.jpg, 5, 4, 3, 6.791 s
000000034221.jpg, 5, 4, 3, 9.998 s
000000034221.jpg, 5, 4, 3, 22.534 s
000000034221.jpg, 5, 5, 0, 6.501 s
000000034221.jpg, 5, 5, 1, 2.767 s
000000034221.jpg, 5, 5, 2, 11.222 s
000000034221.jpg, 5, 5, 3, 6.311 s
000000034221.jpg, 5, 5, 4, 9.854 s
'000000034221.jpg', 111.272
000000050735.jpg, 6, 1, 0, 18.793 s
000000050735.jpg, 6, 2, 0, 2.294 s
000000050735.jpg, 6, 2, 1, 10.599 s
000000050735.jpg, 6, 3, 0, 4.877 s
000000050735.jpg, 6, 3, 1, 4.525 s
000000050735.jpg, 6, 3, 2, 12.949 s
000000050735.jpg, 6, 4, 0, 4.113 s
000000050735.jpg, 6, 4, 1, 7.637 s
000000050735.jpg, 6, 4, 2, 6.406 s
000000050735.jpg, 6, 4, 3, 6.679 s
000000050735.jpg, 6, 5, 0, 24.268 s
000000050735.jpg, 6, 5, 1, 4.885 s
000000050735.jpg, 6, 5, 2, 4.222 s
000000050735.jpg, 6, 5, 2, 4.225 s
000000050735.jpg, 6, 5, 3, 7.285 s
000000050735.jpg, 6, 5, 4, 11.558 s
'000000050735.jpg', 178.297
000000056322.jpg, 7, 1, 0, 9.671 s
000000056322.jpg, 7, 2, 0, 1.699 s
000000056322.jpg, 7, 2, 1, 5.685 s
000000056322.jpg, 7, 2, 1, 7.989 s
000000056322.jpg, 7, 3, 0, 6.516 s
000000056322.jpg, 7, 3, 1, 7.013 s
000000056322.jpg, 7, 3, 2, 6.167 s
000000056322.jpg, 7, 3, 2, 16.455 s
000000056322.jpg, 7, 3, 2, 18.279 s
000000056322.jpg, 7, 3, 2, 18.807 s
000000056322.jpg, 7, 3, 2, 19.479 s
000000056322.jpg, 7, 3, 2, 20.136 s
000000056322.jpg, 7, 4, 0, 3.740 s
000000056322.jpg, 7, 4, 1, 5.524 s
000000056322.jpg, 7, 4, 2, 3.487 s
