Time Log File
ImageName, CurreintImageIndex, CurrentColorStep, ActiveColorIndex, TimeElapsed s
000000010432.jpg, 0, 1, 0, 27.564 s
000000010432.jpg, 0, 2, 0, 33.184 s
000000010432.jpg, 0, 2, 1, 6.952 s
000000010432.jpg, 0, 3, 0, 16.111 s
000000010432.jpg, 0, 3, 1, 14.040 s
000000010432.jpg, 0, 3, 2, 4.767 s
000000010432.jpg, 0, 4, 0, 18.759 s
000000010432.jpg, 0, 4, 1, 6.015 s
000000010432.jpg, 0, 4, 2, 9.383 s
000000010432.jpg, 0, 4, 3, 1.568 s
000000010432.jpg, 0, 4, 3, 2.888 s
000000010432.jpg, 0, 4, 3, 7.944 s
000000010432.jpg, 0, 5, 0, 5.255 s
000000010432.jpg, 0, 5, 1, 9.294 s
000000010432.jpg, 0, 5, 2, 6.583 s
000000010432.jpg, 0, 5, 3, 10.271 s
000000010432.jpg, 0, 5, 4, 7.903 s
'000000010432.jpg', 830.522
000000014824.jpg, 1, 1, 0, 6.767 s
000000014824.jpg, 1, 2, 0, 10.095 s
000000014824.jpg, 1, 2, 1, 10.183 s
000000014824.jpg, 1, 3, 0, 12.831 s
000000014824.jpg, 1, 3, 1, 3.063 s
000000014824.jpg, 1, 3, 2, 5.775 s
000000014824.jpg, 1, 4, 0, 2.727 s
000000014824.jpg, 1, 4, 1, 3.823 s
000000014824.jpg, 1, 4, 2, 5.391 s
000000014824.jpg, 1, 4, 3, 4.351 s
000000014824.jpg, 1, 5, 0, 5.879 s
000000014824.jpg, 1, 5, 1, 25.367 s
000000014824.jpg, 1, 5, 2, 13.624 s
000000014824.jpg, 1, 5, 3, 12.271 s
000000014824.jpg, 1, 5, 4, 5.599 s
'000000014824.jpg', 136.368
000000022423.jpg, 2, 1, 0, 3.196 s
000000022423.jpg, 2, 2, 0, 5.047 s
000000022423.jpg, 2, 2, 1, 9.424 s
000000022423.jpg, 2, 3, 0, 5.183 s
000000022423.jpg, 2, 3, 1, 7.015 s
000000022423.jpg, 2, 3, 2, 3.279 s
000000022423.jpg, 2, 4, 0, 3.111 s
000000022423.jpg, 2, 4, 1, 4.167 s
000000022423.jpg, 2, 4, 2, 11.751 s
000000022423.jpg, 2, 4, 3, 16.159 s
000000022423.jpg, 2, 5, 0, 7.300 s
000000022423.jpg, 2, 5, 1, 6.023 s
000000022423.jpg, 2, 5, 2, 4.471 s
000000022423.jpg, 2, 5, 3, 6.495 s
000000022423.jpg, 2, 5, 4, 8.063 s
000000022423.jpg, 2, 5, 4, 11.071 s
'000000022423.jpg', 111.932
000000023019.jpg, 3, 1, 0, 4.473 s
000000023019.jpg, 3, 2, 0, 16.856 s
000000023019.jpg, 3, 2, 1, 15.767 s
000000023019.jpg, 3, 3, 0, 4.167 s
000000023019.jpg, 3, 3, 1, 4.951 s
000000023019.jpg, 3, 3, 2, 10.879 s
000000023019.jpg, 3, 4, 0, 1.192 s
000000023019.jpg, 3, 4, 1, 6.024 s
000000023019.jpg, 3, 4, 2, 3.895 s
000000023019.jpg, 3, 4, 3, 10.735 s
000000023019.jpg, 3, 5, 0, 1.359 s
000000023019.jpg, 3, 5, 1, 4.391 s
000000023019.jpg, 3, 5, 2, 5.711 s
000000023019.jpg, 3, 5, 3, 5.871 s
000000023019.jpg, 3, 5, 4, 6.656 s
'000000023019.jpg', 108.233
000000029255.jpg, 4, 1, 0, 8.513 s
000000029255.jpg, 4, 2, 0, 3.255 s
000000029255.jpg, 4, 2, 1, 17.648 s
000000029255.jpg, 4, 3, 0, 2.086 s
000000029255.jpg, 4, 3, 1, 3.528 s
000000029255.jpg, 4, 3, 2, 2.768 s
000000029255.jpg, 4, 3, 2, 5.288 s
000000029255.jpg, 4, 3, 2, 6.560 s
000000029255.jpg, 4, 4, 0, 5.991 s
000000029255.jpg, 4, 4, 1, 6.663 s
000000029255.jpg, 4, 4, 2, 5.817 s
000000029255.jpg, 4, 4, 3, 31.471 s
000000029255.jpg, 4, 5, 0, 3.616 s
000000029255.jpg, 4, 5, 1, 2.711 s
000000029255.jpg, 4, 5, 2, 11.038 s
000000029255.jpg, 4, 5, 3, 8.007 s
000000029255.jpg, 4, 5, 4, 11.128 s
'000000029255.jpg', 134.690
000000034221.jpg, 5, 1, 0, 2.497 s
000000034221.jpg, 5, 2, 0, 1.455 s
000000034221.jpg, 5, 2, 1, 8.856 s
000000034221.jpg, 5, 3, 0, 2.487 s
000000034221.jpg, 5, 3, 1, 2.111 s
000000034221.jpg, 5, 3, 2, 5.111 s
000000034221.jpg, 5, 4, 0, 5.063 s
000000034221.jpg, 5, 4, 1, 3.216 s
000000034221.jpg, 5, 4, 2, 7.879 s
000000034221.jpg, 5, 4, 3, 13.367 s
000000034221.jpg, 5, 5, 0, 4.407 s
000000034221.jpg, 5, 5, 1, 5.319 s
000000034221.jpg, 5, 5, 2, 4.695 s
000000034221.jpg, 5, 5, 3, 3.127 s
000000034221.jpg, 5, 5, 4, 5.103 s
'000000034221.jpg', 80.859
000000050735.jpg, 6, 1, 0, 2.679 s
000000050735.jpg, 6, 2, 0, 3.271 s
000000050735.jpg, 6, 2, 1, 2.775 s
000000050735.jpg, 6, 2, 1, 3.727 s
000000050735.jpg, 6, 2, 1, 4.504 s
000000050735.jpg, 6, 2, 1, 4.912 s
000000050735.jpg, 6, 2, 1, 5.327 s
000000050735.jpg, 6, 3, 0, 2.816 s
000000050735.jpg, 6, 3, 1, 2.903 s
000000050735.jpg, 6, 3, 2, 3.616 s
000000050735.jpg, 6, 4, 0, 2.247 s
000000050735.jpg, 6, 4, 1, 3.366 s
000000050735.jpg, 6, 4, 2, 2.679 s
000000050735.jpg, 6, 4, 3, 3.999 s
000000050735.jpg, 6, 5, 0, 1.959 s
000000050735.jpg, 6, 5, 1, 2.440 s
000000050735.jpg, 6, 5, 2, 2.376 s
000000050735.jpg, 6, 5, 3, 3.632 s
000000050735.jpg, 6, 5, 4, 6.039 s
'000000050735.jpg', 56.881
000000056322.jpg, 7, 1, 0, 17.849 s
000000056322.jpg, 7, 2, 0, 2.487 s
000000056322.jpg, 7, 2, 1, 3.911 s
000000056322.jpg, 7, 3, 0, 5.783 s
000000056322.jpg, 7, 3, 1, 2.351 s
000000056322.jpg, 7, 3, 2, 6.791 s
000000056322.jpg, 7, 3, 2, 12.104 s
000000056322.jpg, 7, 4, 0, 0.951 s
000000056322.jpg, 7, 4, 1, 3.944 s
000000056322.jpg, 7, 4, 2, 6.502 s
000000056322.jpg, 7, 4, 3, 8.191 s
000000056322.jpg, 7, 5, 0, 3.679 s
000000056322.jpg, 7, 5, 1, 2.807 s
000000056322.jpg, 7, 5, 2, 2.471 s
000000056322.jpg, 7, 5, 3, 4.664 s
000000056322.jpg, 7, 5, 4, 13.567 s
'000000056322.jpg', 96.602
000000062589.jpg, 8, 1, 0, 4.842 s
000000062589.jpg, 8, 2, 0, 3.054 s
000000062589.jpg, 8, 2, 1, 6.679 s
000000062589.jpg, 8, 3, 0, 1.687 s
000000062589.jpg, 8, 3, 1, 7.320 s
000000062589.jpg, 8, 3, 2, 7.071 s
000000062589.jpg, 8, 4, 0, 1.358 s
000000062589.jpg, 8, 4, 1, 10.167 s
000000062589.jpg, 8, 4, 2, 4.303 s
000000062589.jpg, 8, 4, 3, 2.063 s
000000062589.jpg, 8, 4, 3, 4.647 s
000000062589.jpg, 8, 5, 0, 1.751 s
000000062589.jpg, 8, 5, 1, 3.431 s
000000062589.jpg, 8, 5, 2, 4.847 s
000000062589.jpg, 8, 5, 3, 17.303 s
000000062589.jpg, 8, 5, 4, 7.623 s
'000000062589.jpg', 94.171
000000076930.jpg, 9, 1, 0, 7.278 s
000000076930.jpg, 9, 2, 0, 9.607 s
000000076930.jpg, 9, 2, 1, 9.496 s
000000076930.jpg, 9, 3, 0, 5.791 s
000000076930.jpg, 9, 3, 1, 7.695 s
000000076930.jpg, 9, 3, 2, 4.511 s
000000076930.jpg, 9, 4, 0, 5.728 s
000000076930.jpg, 9, 4, 1, 9.752 s
000000076930.jpg, 9, 4, 2, 12.247 s
000000076930.jpg, 9, 4, 3, 25.608 s
000000076930.jpg, 9, 5, 0, 3.366 s
000000076930.jpg, 9, 5, 0, 2.463 s
000000076930.jpg, 9, 5, 1, 13.007 s
000000076930.jpg, 9, 5, 2, 2.999 s
000000076930.jpg, 9, 5, 3, 3.959 s
000000076930.jpg, 9, 5, 4, 11.447 s
'000000076930.jpg', 170.924
000000083368.jpg, 10, 1, 0, 2.768 s
000000083368.jpg, 10, 2, 0, 8.087 s
000000083368.jpg, 10, 2, 1, 6.832 s
000000083368.jpg, 10, 3, 0, 9.263 s
000000083368.jpg, 10, 3, 1, 14.712 s
000000083368.jpg, 10, 3, 2, 2.671 s
000000083368.jpg, 10, 4, 0, 4.159 s
000000083368.jpg, 10, 4, 1, 6.623 s
000000083368.jpg, 10, 4, 2, 9.328 s
000000083368.jpg, 10, 4, 3, 10.791 s
000000083368.jpg, 10, 5, 0, 7.719 s
000000083368.jpg, 10, 5, 1, 3.814 s
000000083368.jpg, 10, 5, 2, 14.448 s
000000083368.jpg, 10, 5, 3, 9.807 s
000000083368.jpg, 10, 5, 4, 6.984 s
'000000083368.jpg', 123.848
000000085269.jpg, 11, 1, 0, 13.208 s
000000085269.jpg, 11, 1, 0, 14.960 s
000000085269.jpg, 11, 1, 0, 15.520 s
000000085269.jpg, 11, 1, 0, 15.968 s
000000085269.jpg, 11, 1, 0, 17.632 s
000000085269.jpg, 11, 2, 0, 3.647 s
000000085269.jpg, 11, 2, 1, 11.231 s
000000085269.jpg, 11, 3, 0, 0.543 s
000000085269.jpg, 11, 3, 1, 5.103 s
000000085269.jpg, 11, 3, 2, 5.903 s
000000085269.jpg, 11, 4, 0, 0.406 s
000000085269.jpg, 11, 4, 1, 5.863 s
000000085269.jpg, 11, 4, 2, 11.720 s
000000085269.jpg, 11, 4, 3, 13.384 s
000000085269.jpg, 11, 5, 0, 2.247 s
000000085269.jpg, 11, 5, 1, 3.343 s
000000085269.jpg, 11, 5, 2, 7.950 s
000000085269.jpg, 11, 5, 3, 13.823 s
000000085269.jpg, 11, 5, 4, 4.487 s
'000000085269.jpg', 115.385
000000109586.jpg, 12, 1, 0, 6.196 s
000000109586.jpg, 12, 2, 0, 2.759 s
000000109586.jpg, 12, 2, 1, 10.903 s
000000109586.jpg, 12, 3, 0, 10.183 s
000000109586.jpg, 12, 3, 1, 3.184 s
000000109586.jpg, 12, 3, 2, 10.519 s
000000109586.jpg, 12, 4, 0, 3.527 s
000000109586.jpg, 12, 4, 1, 6.576 s
000000109586.jpg, 12, 4, 2, 4.856 s
