Time Log File
ImageName, CurreintImageIndex, CurrentColorStep, ActiveColorIndex, TimeElapsed s
000000010432.jpg, 0, 1, 0, 31.690 s
000000010432.jpg, 0, 2, 0, 21.979 s
000000010432.jpg, 0, 1, 0, 30.051 s
000000010432.jpg, 0, 2, 0, 4.478 s
000000010432.jpg, 0, 2, 1, 11.000 s
000000010432.jpg, 0, 3, 0, 19.816 s
000000010432.jpg, 0, 3, 1, 7.031 s
000000010432.jpg, 0, 3, 2, 21.870 s
000000010432.jpg, 0, 4, 0, 4.624 s
000000010432.jpg, 0, 4, 1, 2.735 s
000000010432.jpg, 0, 4, 2, 10.655 s
000000010432.jpg, 0, 4, 3, 26.895 s
000000010432.jpg, 0, 5, 0, 9.431 s
000000010432.jpg, 0, 5, 1, 8.951 s
000000010432.jpg, 0, 5, 2, 5.054 s
000000010432.jpg, 0, 5, 3, 3.344 s
000000010432.jpg, 0, 5, 4, 7.207 s
'000000010432.jpg', 355.559
000000014824.jpg, 1, 1, 0, 11.620 s
000000014824.jpg, 1, 2, 0, 2.376 s
000000014824.jpg, 1, 2, 1, 4.759 s
000000014824.jpg, 1, 3, 0, 2.392 s
000000014824.jpg, 1, 3, 1, 6.271 s
000000014824.jpg, 1, 3, 2, 4.887 s
000000014824.jpg, 1, 4, 0, 1.704 s
000000014824.jpg, 1, 4, 1, 1.103 s
000000014824.jpg, 1, 4, 2, 1.039 s
000000014824.jpg, 1, 4, 3, 29.519 s
000000014824.jpg, 1, 5, 0, 2.936 s
000000014824.jpg, 1, 5, 1, 2.319 s
000000014824.jpg, 1, 5, 2, 3.607 s
000000014824.jpg, 1, 5, 3, 10.342 s
000000014824.jpg, 1, 5, 4, 4.239 s
'000000014824.jpg', 98.692
000000022423.jpg, 2, 1, 0, 9.420 s
000000022423.jpg, 2, 2, 0, 5.528 s
000000022423.jpg, 2, 2, 1, 4.279 s
000000022423.jpg, 2, 3, 0, 2.815 s
000000022423.jpg, 2, 3, 1, 4.991 s
000000022423.jpg, 2, 3, 2, 3.871 s
000000022423.jpg, 2, 4, 0, 6.096 s
000000022423.jpg, 2, 4, 1, 7.927 s
000000022423.jpg, 2, 4, 2, 7.687 s
000000022423.jpg, 2, 4, 3, 23.895 s
000000022423.jpg, 2, 5, 0, 3.159 s
000000022423.jpg, 2, 5, 1, 3.479 s
000000022423.jpg, 2, 5, 2, 3.687 s
000000022423.jpg, 2, 5, 3, 5.279 s
000000022423.jpg, 2, 5, 4, 20.391 s
'000000022423.jpg', 122.811
000000023019.jpg, 3, 1, 0, 6.954 s
000000023019.jpg, 3, 2, 0, 1.936 s
000000023019.jpg, 3, 2, 1, 12.039 s
000000023019.jpg, 3, 3, 0, 3.504 s
000000023019.jpg, 3, 3, 1, 6.175 s
000000023019.jpg, 3, 3, 1, 3.746 s
000000023019.jpg, 3, 3, 2, 15.575 s
000000023019.jpg, 3, 3, 2, 33.175 s
000000023019.jpg, 3, 4, 0, 5.656 s
000000023019.jpg, 3, 4, 1, 7.055 s
000000023019.jpg, 3, 4, 2, 5.791 s
000000023019.jpg, 3, 4, 3, 9.343 s
000000023019.jpg, 3, 5, 0, 5.120 s
000000023019.jpg, 3, 5, 1, 8.031 s
000000023019.jpg, 3, 5, 2, 8.695 s
000000023019.jpg, 3, 5, 3, 4.959 s
000000023019.jpg, 3, 5, 2, 1.169 s
000000023019.jpg, 3, 5, 1, 2.929 s
000000023019.jpg, 3, 5, 3, 4.049 s
000000023019.jpg, 3, 5, 4, 5.343 s
'000000023019.jpg', 152.393
000000029255.jpg, 4, 1, 0, 8.842 s
000000029255.jpg, 4, 2, 0, 1.297 s
000000029255.jpg, 4, 2, 1, 21.879 s
000000029255.jpg, 4, 3, 0, 4.728 s
000000029255.jpg, 4, 3, 1, 6.254 s
000000029255.jpg, 4, 3, 2, 10.336 s
000000029255.jpg, 4, 4, 0, 2.951 s
000000029255.jpg, 4, 4, 1, 15.968 s
000000029255.jpg, 4, 4, 2, 6.535 s
000000029255.jpg, 4, 4, 3, 18.471 s
000000029255.jpg, 4, 5, 0, 2.543 s
000000029255.jpg, 4, 5, 1, 17.103 s
000000029255.jpg, 4, 5, 2, 3.767 s
000000029255.jpg, 4, 5, 3, 7.759 s
000000029255.jpg, 4, 5, 4, 7.015 s
'000000029255.jpg', 143.361
000000034221.jpg, 5, 1, 0, 3.673 s
000000034221.jpg, 5, 2, 0, 1.721 s
000000034221.jpg, 5, 2, 1, 5.663 s
000000034221.jpg, 5, 3, 0, 1.544 s
000000034221.jpg, 5, 3, 1, 1.144 s
000000034221.jpg, 5, 3, 2, 4.567 s
000000034221.jpg, 5, 4, 0, 1.336 s
000000034221.jpg, 5, 4, 1, 0.815 s
000000034221.jpg, 5, 4, 2, 0.815 s
000000034221.jpg, 5, 4, 3, 19.368 s
000000034221.jpg, 5, 5, 0, 1.104 s
000000034221.jpg, 5, 5, 1, 2.103 s
000000034221.jpg, 5, 5, 2, 4.487 s
000000034221.jpg, 5, 5, 3, 2.543 s
000000034221.jpg, 5, 5, 4, 6.623 s
'000000034221.jpg', 64.889
000000050735.jpg, 6, 1, 0, 5.445 s
000000050735.jpg, 6, 1, 0, 12.404 s
000000050735.jpg, 6, 1, 0, 13.268 s
000000050735.jpg, 6, 2, 0, 1.231 s
000000050735.jpg, 6, 2, 1, 2.480 s
000000050735.jpg, 6, 3, 0, 3.832 s
000000050735.jpg, 6, 3, 1, 3.471 s
000000050735.jpg, 6, 3, 2, 9.055 s
000000050735.jpg, 6, 4, 0, 2.296 s
000000050735.jpg, 6, 4, 1, 2.359 s
000000050735.jpg, 6, 4, 2, 2.263 s
000000050735.jpg, 6, 4, 3, 3.728 s
000000050735.jpg, 6, 4, 2, 1.345 s
000000050735.jpg, 6, 4, 3, 4.303 s
000000050735.jpg, 6, 4, 3, 7.743 s
000000050735.jpg, 6, 5, 0, 5.680 s
000000050735.jpg, 6, 5, 1, 3.519 s
000000050735.jpg, 6, 5, 2, 2.512 s
000000050735.jpg, 6, 5, 3, 4.175 s
000000050735.jpg, 6, 5, 4, 2.615 s
'000000050735.jpg', 85.588
000000056322.jpg, 7, 1, 0, 5.993 s
000000056322.jpg, 7, 2, 0, 1.289 s
000000056322.jpg, 7, 2, 1, 6.271 s
000000056322.jpg, 7, 3, 0, 3.199 s
000000056322.jpg, 7, 3, 1, 4.096 s
000000056322.jpg, 7, 3, 2, 9.119 s
000000056322.jpg, 7, 4, 0, 2.183 s
000000056322.jpg, 7, 4, 1, 2.647 s
000000056322.jpg, 7, 4, 2, 3.127 s
000000056322.jpg, 7, 4, 3, 5.799 s
000000056322.jpg, 7, 5, 0, 3.544 s
000000056322.jpg, 7, 5, 1, 5.079 s
000000056322.jpg, 7, 5, 2, 3.135 s
000000056322.jpg, 7, 5, 3, 12.463 s
000000056322.jpg, 7, 5, 4, 2.991 s
'000000056322.jpg', 78.648
000000062589.jpg, 8, 1, 0, 4.889 s
000000062589.jpg, 8, 1, 0, 7.265 s
000000062589.jpg, 8, 1, 0, 9.489 s
000000062589.jpg, 8, 2, 0, 11.159 s
000000062589.jpg, 8, 2, 1, 14.054 s
000000062589.jpg, 8, 3, 0, 6.552 s
000000062589.jpg, 8, 3, 1, 7.030 s
000000062589.jpg, 8, 3, 2, 3.209 s
000000062589.jpg, 8, 4, 0, 8.927 s
000000062589.jpg, 8, 4, 1, 3.847 s
000000062589.jpg, 8, 4, 2, 9.023 s
000000062589.jpg, 8, 4, 2, 1.177 s
000000062589.jpg, 8, 4, 3, 11.551 s
000000062589.jpg, 8, 5, 0, 7.848 s
000000062589.jpg, 8, 5, 1, 4.847 s
000000062589.jpg, 8, 5, 2, 6.311 s
000000062589.jpg, 8, 5, 3, 7.935 s
000000062589.jpg, 8, 5, 4, 11.191 s
'000000062589.jpg', 135.752
000000076930.jpg, 9, 1, 0, 9.242 s
000000076930.jpg, 9, 2, 0, 1.368 s
000000076930.jpg, 9, 2, 1, 3.495 s
000000076930.jpg, 9, 3, 0, 1.352 s
