Time Log File
ImageName, CurreintImageIndex, CurrentColorStep, ActiveColorIndex, TimeElapsed s
000000010432.jpg, 0, 1, 0, 16.766 s
000000010432.jpg, 0, 2, 0, 5.171 s
000000010432.jpg, 0, 2, 1, 2.447 s
000000010432.jpg, 0, 3, 0, 11.899 s
000000010432.jpg, 0, 3, 1, 10.519 s
000000010432.jpg, 0, 3, 2, 10.591 s
000000010432.jpg, 0, 4, 0, 6.404 s
000000010432.jpg, 0, 4, 1, 2.983 s
000000010432.jpg, 0, 4, 1, 0.929 s
000000010432.jpg, 0, 4, 2, 11.095 s
000000010432.jpg, 0, 4, 3, 3.006 s
000000010432.jpg, 0, 5, 0, 3.243 s
000000010432.jpg, 0, 5, 0, 3.713 s
000000010432.jpg, 0, 5, 1, 4.015 s
000000010432.jpg, 0, 5, 2, 4.567 s
000000010432.jpg, 0, 5, 3, 3.135 s
000000010432.jpg, 0, 5, 4, 10.383 s
'000000010432.jpg', 123.017
000000014824.jpg, 1, 1, 0, 23.681 s
000000014824.jpg, 1, 2, 0, 9.610 s
000000014824.jpg, 1, 1, 0, 5.874 s
000000014824.jpg, 1, 2, 0, 9.484 s
000000014824.jpg, 1, 2, 1, 22.151 s
000000014824.jpg, 1, 3, 0, 5.395 s
000000014824.jpg, 1, 3, 1, 2.255 s
000000014824.jpg, 1, 3, 2, 5.718 s
000000014824.jpg, 1, 4, 0, 4.307 s
000000014824.jpg, 1, 4, 1, 1.463 s
000000014824.jpg, 1, 4, 2, 15.063 s
000000014824.jpg, 1, 4, 3, 2.687 s
000000014824.jpg, 1, 5, 0, 7.099 s
000000014824.jpg, 1, 5, 1, 2.112 s
000000014824.jpg, 1, 5, 2, 4.367 s
000000014824.jpg, 1, 5, 3, 4.895 s
000000014824.jpg, 1, 5, 4, 3.823 s
'000000014824.jpg', 157.157
000000022423.jpg, 2, 1, 0, 7.295 s
000000022423.jpg, 2, 2, 0, 6.452 s
000000022423.jpg, 2, 2, 1, 5.358 s
000000022423.jpg, 2, 2, 1, 8.681 s
000000022423.jpg, 2, 3, 0, 25.419 s
000000022423.jpg, 2, 3, 1, 7.136 s
000000022423.jpg, 2, 3, 2, 8.039 s
000000022423.jpg, 2, 3, 1, 10.097 s
000000022423.jpg, 2, 3, 2, 9.367 s
000000022423.jpg, 2, 4, 0, 2.875 s
000000022423.jpg, 2, 4, 1, 5.863 s
000000022423.jpg, 2, 4, 2, 13.359 s
000000022423.jpg, 2, 4, 3, 11.343 s
000000022423.jpg, 2, 5, 0, 3.050 s
000000022423.jpg, 2, 5, 1, 8.287 s
000000022423.jpg, 2, 5, 2, 15.215 s
000000022423.jpg, 2, 5, 3, 4.031 s
000000022423.jpg, 2, 5, 4, 11.767 s
'000000022423.jpg', 186.579
000000023019.jpg, 3, 1, 0, 27.485 s
000000023019.jpg, 3, 1, 0, 43.837 s
000000023019.jpg, 3, 2, 0, 7.875 s
000000023019.jpg, 3, 2, 1, 35.863 s
000000023019.jpg, 3, 3, 0, 9.227 s
000000023019.jpg, 3, 3, 1, 6.647 s
000000023019.jpg, 3, 3, 2, 6.352 s
000000023019.jpg, 3, 4, 0, 3.867 s
000000023019.jpg, 3, 4, 1, 12.767 s
000000023019.jpg, 3, 4, 2, 5.383 s
000000023019.jpg, 3, 4, 3, 2.000 s
000000023019.jpg, 3, 4, 2, 1.297 s
000000023019.jpg, 3, 4, 3, 13.878 s
000000023019.jpg, 3, 5, 0, 3.867 s
000000023019.jpg, 3, 5, 1, 4.559 s
000000023019.jpg, 3, 5, 2, 4.471 s
000000023019.jpg, 3, 5, 3, 6.815 s
000000023019.jpg, 3, 5, 4, 4.183 s
'000000023019.jpg', 180.537
000000029255.jpg, 4, 1, 0, 7.708 s
000000029255.jpg, 4, 2, 0, 0.604 s
000000029255.jpg, 4, 2, 1, 1.183 s
000000029255.jpg, 4, 2, 1, 1.622 s
000000029255.jpg, 4, 3, 0, 2.972 s
000000029255.jpg, 4, 3, 1, 5.319 s
000000029255.jpg, 4, 3, 1, 4.071 s
000000029255.jpg, 4, 3, 2, 4.880 s
000000029255.jpg, 4, 3, 2, 5.305 s
000000029255.jpg, 4, 4, 0, 8.363 s
000000029255.jpg, 4, 4, 1, 2.919 s
000000029255.jpg, 4, 4, 2, 8.287 s
000000029255.jpg, 4, 4, 3, 5.720 s
000000029255.jpg, 4, 5, 0, 2.756 s
000000029255.jpg, 4, 5, 1, 3.278 s
000000029255.jpg, 4, 5, 2, 7.320 s
000000029255.jpg, 4, 5, 3, 5.927 s
000000029255.jpg, 4, 5, 4, 5.767 s
'000000029255.jpg', 91.456
000000034221.jpg, 5, 1, 0, 18.957 s
000000034221.jpg, 5, 2, 0, 1.444 s
000000034221.jpg, 5, 2, 1, 13.903 s
000000034221.jpg, 5, 3, 0, 2.531 s
000000034221.jpg, 5, 3, 1, 1.847 s
000000034221.jpg, 5, 3, 2, 4.399 s
000000034221.jpg, 5, 4, 0, 1.387 s
000000034221.jpg, 5, 4, 1, 1.350 s
000000034221.jpg, 5, 4, 2, 1.720 s
000000034221.jpg, 5, 4, 3, 2.807 s
000000034221.jpg, 5, 5, 0, 1.348 s
000000034221.jpg, 5, 5, 1, 4.831 s
