Time Log File
ImageName, CurreintImageIndex, CurrentColorStep, ActiveColorIndex, TimeElapsed s
000000010432.jpg, 0, 1, 0, 15.233 s
000000010432.jpg, 0, 2, 0, 6.565 s
000000010432.jpg, 0, 2, 1, 3.391 s
000000010432.jpg, 0, 2, 0, 0.513 s
000000010432.jpg, 0, 1, 0, 7.509 s
000000010432.jpg, 0, 2, 0, 2.583 s
000000010432.jpg, 0, 1, 0, 12.740 s
000000010432.jpg, 0, 1, 0, 20.028 s
000000010432.jpg, 0, 1, 0, 23.340 s
000000010432.jpg, 0, 2, 0, 5.496 s
000000010432.jpg, 0, 2, 1, 15.928 s
000000010432.jpg, 0, 3, 0, 7.000 s
000000010432.jpg, 0, 3, 1, 10.999 s
000000010432.jpg, 0, 3, 2, 3.398 s
000000010432.jpg, 0, 4, 0, 4.663 s
000000010432.jpg, 0, 4, 1, 3.568 s
000000010432.jpg, 0, 4, 2, 4.632 s
000000010432.jpg, 0, 4, 3, 17.983 s
000000010432.jpg, 0, 5, 0, 8.536 s
000000010432.jpg, 0, 5, 1, 3.440 s
000000010432.jpg, 0, 5, 2, 1.655 s
000000010432.jpg, 0, 5, 3, 9.487 s
000000010432.jpg, 0, 5, 4, 21.928 s
'000000010432.jpg', 312.626
000000014824.jpg, 1, 1, 0, 12.943 s
000000014824.jpg, 1, 2, 0, 5.360 s
000000014824.jpg, 1, 2, 1, 7.536 s
000000014824.jpg, 1, 3, 0, 7.792 s
000000014824.jpg, 1, 3, 1, 5.160 s
000000014824.jpg, 1, 3, 2, 9.736 s
000000014824.jpg, 1, 4, 0, 7.967 s
000000014824.jpg, 1, 4, 1, 5.239 s
000000014824.jpg, 1, 4, 2, 2.191 s
000000014824.jpg, 1, 4, 3, 32.392 s
000000014824.jpg, 1, 5, 0, 9.079 s
000000014824.jpg, 1, 5, 1, 9.904 s
000000014824.jpg, 1, 5, 2, 14.351 s
000000014824.jpg, 1, 5, 3, 9.367 s
000000014824.jpg, 1, 5, 4, 2.759 s
'000000014824.jpg', 151.976
000000022423.jpg, 2, 1, 0, 12.371 s
000000022423.jpg, 2, 2, 0, 7.408 s
000000022423.jpg, 2, 2, 1, 5.056 s
000000022423.jpg, 2, 3, 0, 13.863 s
000000022423.jpg, 2, 3, 1, 3.367 s
000000022423.jpg, 2, 3, 2, 23.928 s
000000022423.jpg, 2, 4, 0, 1.383 s
000000022423.jpg, 2, 4, 1, 4.760 s
000000022423.jpg, 2, 4, 2, 3.527 s
000000022423.jpg, 2, 4, 3, 4.391 s
000000022423.jpg, 2, 5, 0, 1.501 s
000000022423.jpg, 2, 5, 1, 1.967 s
000000022423.jpg, 2, 5, 2, 0.856 s
000000022423.jpg, 2, 5, 3, 3.399 s
000000022423.jpg, 2, 5, 4, 5.992 s
'000000022423.jpg', 101.884
000000023019.jpg, 3, 1, 0, 28.683 s
000000023019.jpg, 3, 2, 0, 8.400 s
000000023019.jpg, 3, 2, 1, 3.624 s
000000023019.jpg, 3, 3, 0, 5.784 s
000000023019.jpg, 3, 3, 1, 7.080 s
000000023019.jpg, 3, 3, 2, 3.944 s
000000023019.jpg, 3, 4, 0, 1.776 s
000000023019.jpg, 3, 4, 1, 3.927 s
000000023019.jpg, 3, 4, 2, 1.912 s
000000023019.jpg, 3, 4, 3, 3.528 s
000000023019.jpg, 3, 5, 0, 1.288 s
000000023019.jpg, 3, 5, 1, 1.703 s
000000023019.jpg, 3, 5, 2, 1.656 s
000000023019.jpg, 3, 5, 3, 1.840 s
000000023019.jpg, 3, 5, 4, 14.183 s
'000000023019.jpg', 96.211
000000029255.jpg, 4, 1, 0, 6.641 s
000000029255.jpg, 4, 2, 0, 1.079 s
000000029255.jpg, 4, 2, 1, 1.816 s
000000029255.jpg, 4, 3, 0, 1.432 s
000000029255.jpg, 4, 3, 1, 1.040 s
000000029255.jpg, 4, 3, 2, 5.632 s
000000029255.jpg, 4, 4, 0, 1.487 s
000000029255.jpg, 4, 4, 1, 2.255 s
000000029255.jpg, 4, 4, 2, 1.896 s
000000029255.jpg, 4, 4, 3, 9.440 s
000000029255.jpg, 4, 5, 0, 1.360 s
000000029255.jpg, 4, 5, 0, 7.456 s
000000029255.jpg, 4, 5, 1, 0.943 s
000000029255.jpg, 4, 5, 2, 0.943 s
000000029255.jpg, 4, 5, 3, 11.543 s
000000029255.jpg, 4, 5, 4, 1.567 s
'000000029255.jpg', 73.498
000000034221.jpg, 5, 1, 0, 7.465 s
000000034221.jpg, 5, 2, 0, 2.568 s
000000034221.jpg, 5, 2, 1, 3.144 s
000000034221.jpg, 5, 3, 0, 1.208 s
000000034221.jpg, 5, 3, 1, 0.912 s
000000034221.jpg, 5, 3, 2, 11.880 s
000000034221.jpg, 5, 4, 0, 1.143 s
000000034221.jpg, 5, 4, 0, 1.264 s
000000034221.jpg, 5, 4, 1, 1.040 s
000000034221.jpg, 5, 4, 2, 3.063 s
000000034221.jpg, 5, 4, 3, 6.288 s
000000034221.jpg, 5, 5, 0, 2.072 s
000000034221.jpg, 5, 5, 1, 1.247 s
000000034221.jpg, 5, 5, 2, 1.791 s
000000034221.jpg, 5, 5, 3, 3.055 s
000000034221.jpg, 5, 5, 4, 20.279 s
'000000034221.jpg', 81.235
000000050735.jpg, 6, 1, 0, 5.035 s
000000050735.jpg, 6, 2, 0, 0.679 s
000000050735.jpg, 6, 2, 1, 5.632 s
000000050735.jpg, 6, 3, 0, 3.904 s
000000050735.jpg, 6, 3, 1, 2.464 s
000000050735.jpg, 6, 3, 2, 14.744 s
000000050735.jpg, 6, 4, 0, 2.471 s
000000050735.jpg, 6, 4, 1, 1.256 s
000000050735.jpg, 6, 4, 1, 1.448 s
000000050735.jpg, 6, 4, 2, 8.728 s
000000050735.jpg, 6, 4, 3, 18.600 s
000000050735.jpg, 6, 5, 0, 2.287 s
000000050735.jpg, 6, 5, 1, 3.455 s
000000050735.jpg, 6, 5, 2, 2.184 s
000000050735.jpg, 6, 5, 3, 1.824 s
000000050735.jpg, 6, 5, 4, 2.735 s
000000050735.jpg, 6, 5, 4, 9.015 s
'000000050735.jpg', 94.692
000000056322.jpg, 7, 1, 0, 17.527 s
000000056322.jpg, 7, 2, 0, 1.848 s
000000056322.jpg, 7, 2, 1, 1.120 s
000000056322.jpg, 7, 3, 0, 1.016 s
000000056322.jpg, 7, 3, 1, 0.832 s
000000056322.jpg, 7, 3, 2, 6.752 s
000000056322.jpg, 7, 4, 0, 3.527 s
000000056322.jpg, 7, 4, 1, 0.752 s
000000056322.jpg, 7, 4, 2, 2.416 s
000000056322.jpg, 7, 4, 3, 6.335 s
000000056322.jpg, 7, 5, 0, 2.592 s
000000056322.jpg, 7, 5, 1, 1.071 s
000000056322.jpg, 7, 5, 2, 3.168 s
000000056322.jpg, 7, 5, 3, 2.056 s
000000056322.jpg, 7, 5, 4, 9.584 s
'000000056322.jpg', 69.072
000000062589.jpg, 8, 1, 0, 4.561 s
000000062589.jpg, 8, 2, 0, 1.368 s
000000062589.jpg, 8, 2, 1, 5.856 s
000000062589.jpg, 8, 3, 0, 0.896 s
000000062589.jpg, 8, 3, 1, 1.400 s
000000062589.jpg, 8, 3, 2, 12.360 s
000000062589.jpg, 8, 4, 0, 1.415 s
000000062589.jpg, 8, 4, 1, 3.656 s
000000062589.jpg, 8, 4, 2, 1.672 s
000000062589.jpg, 8, 4, 3, 7.655 s
000000062589.jpg, 8, 5, 0, 2.095 s
000000062589.jpg, 8, 5, 1, 1.920 s
000000062589.jpg, 8, 5, 2, 1.160 s
000000062589.jpg, 8, 5, 3, 4.319 s
000000062589.jpg, 8, 5, 4, 6.551 s
'000000062589.jpg', 66.442
000000076930.jpg, 9, 1, 0, 14.896 s
000000076930.jpg, 9, 2, 0, 1.656 s
000000076930.jpg, 9, 2, 1, 7.608 s
000000076930.jpg, 9, 3, 0, 2.328 s
000000076930.jpg, 9, 3, 1, 1.912 s
000000076930.jpg, 9, 3, 2, 5.983 s
000000076930.jpg, 9, 3, 2, 8.800 s
000000076930.jpg, 9, 4, 0, 3.600 s
000000076930.jpg, 9, 4, 1, 2.536 s
000000076930.jpg, 9, 4, 2, 1.848 s
000000076930.jpg, 9, 4, 3, 6.688 s
000000076930.jpg, 9, 5, 0, 1.703 s
000000076930.jpg, 9, 5, 1, 2.616 s
000000076930.jpg, 9, 5, 2, 2.111 s
000000076930.jpg, 9, 5, 3, 7.415 s
000000076930.jpg, 9, 5, 4, 9.111 s
'000000076930.jpg', 83.480
000000083368.jpg, 10, 1, 0, 19.889 s
000000083368.jpg, 10, 2, 0, 1.392 s
000000083368.jpg, 10, 2, 1, 13.208 s
000000083368.jpg, 10, 3, 0, 2.175 s
000000083368.jpg, 10, 3, 1, 1.127 s
000000083368.jpg, 10, 3, 2, 6.192 s
000000083368.jpg, 10, 4, 0, 0.991 s
000000083368.jpg, 10, 4, 1, 0.928 s
000000083368.jpg, 10, 4, 2, 1.383 s
000000083368.jpg, 10, 4, 3, 6.216 s
000000083368.jpg, 10, 5, 0, 1.351 s
000000083368.jpg, 10, 5, 1, 1.103 s
000000083368.jpg, 10, 5, 2, 1.192 s
000000083368.jpg, 10, 5, 3, 0.856 s
000000083368.jpg, 10, 5, 4, 3.232 s
'000000083368.jpg', 68.697
000000085269.jpg, 11, 1, 0, 21.729 s
000000085269.jpg, 11, 1, 0, 23.152 s
000000085269.jpg, 11, 1, 0, 25.265 s
000000085269.jpg, 11, 1, 0, 26.049 s
000000085269.jpg, 11, 1, 0, 26.337 s
000000085269.jpg, 11, 1, 0, 28.504 s
000000085269.jpg, 11, 1, 0, 32.433 s
000000085269.jpg, 11, 2, 0, 1.296 s
000000085269.jpg, 11, 2, 1, 5.928 s
000000085269.jpg, 11, 3, 0, 2.503 s
000000085269.jpg, 11, 3, 1, 5.687 s
000000085269.jpg, 11, 3, 2, 8.352 s
000000085269.jpg, 11, 3, 2, 11.896 s
000000085269.jpg, 11, 4, 0, 2.344 s
000000085269.jpg, 11, 4, 1, 1.807 s
000000085269.jpg, 11, 4, 2, 2.503 s
000000085269.jpg, 11, 4, 3, 0.528 s
000000085269.jpg, 11, 4, 2, 0.776 s
000000085269.jpg, 11, 4, 3, 16.752 s
000000085269.jpg, 11, 5, 0, 2.839 s
000000085269.jpg, 11, 5, 1, 2.719 s
000000085269.jpg, 11, 5, 2, 7.279 s
000000085269.jpg, 11, 5, 2, 1.216 s
000000085269.jpg, 11, 5, 3, 9.968 s
000000085269.jpg, 11, 5, 4, 4.208 s
'000000085269.jpg', 123.530
000000109586.jpg, 12, 1, 0, 21.163 s
000000109586.jpg, 12, 1, 0, 31.891 s
000000109586.jpg, 12, 2, 0, 0.967 s
000000109586.jpg, 12, 2, 1, 4.815 s
000000109586.jpg, 12, 3, 0, 3.295 s
000000109586.jpg, 12, 3, 1, 3.264 s
000000109586.jpg, 12, 3, 2, 7.864 s
000000109586.jpg, 12, 4, 0, 3.240 s
000000109586.jpg, 12, 4, 1, 7.096 s
000000109586.jpg, 12, 4, 2, 5.640 s
000000109586.jpg, 12, 4, 3, 13.391 s
000000109586.jpg, 12, 5, 0, 1.615 s
000000109586.jpg, 12, 5, 0, 2.561 s
000000109586.jpg, 12, 5, 1, 3.504 s
000000109586.jpg, 12, 5, 2, 7.544 s
000000109586.jpg, 12, 5, 3, 2.008 s
000000109586.jpg, 12, 5, 4, 3.584 s
'000000109586.jpg', 112.149
000000109659.jpg, 13, 1, 0, 8.320 s
000000109659.jpg, 13, 1, 0, 11.312 s
000000109659.jpg, 13, 2, 0, 1.056 s
000000109659.jpg, 13, 2, 1, 6.248 s
000000109659.jpg, 13, 2, 1, 16.968 s
000000109659.jpg, 13, 3, 0, 1.847 s
000000109659.jpg, 13, 3, 1, 3.951 s
000000109659.jpg, 13, 3, 2, 6.135 s
000000109659.jpg, 13, 4, 0, 1.935 s
000000109659.jpg, 13, 4, 1, 2.480 s
000000109659.jpg, 13, 4, 2, 1.527 s
000000109659.jpg, 13, 4, 3, 9.624 s
000000109659.jpg, 13, 5, 0, 2.311 s
000000109659.jpg, 13, 5, 1, 3.167 s
000000109659.jpg, 13, 5, 2, 0.047 s
000000109659.jpg, 13, 5, 3, 1.848 s
000000109659.jpg, 13, 5, 2, 3.080 s
000000109659.jpg, 13, 5, 4, 5.536 s
000000109659.jpg, 13, 5, 4, 6.127 s
000000109659.jpg, 13, 5, 4, 6.496 s
000000109659.jpg, 13, 5, 4, 7.296 s
000000109659.jpg, 13, 5, 4, 7.632 s
'000000109659.jpg', 87.257
000000112604.jpg, 14, 1, 0, 23.874 s
000000112604.jpg, 14, 2, 0, 3.151 s
000000112604.jpg, 14, 2, 1, 5.479 s
000000112604.jpg, 14, 3, 0, 1.079 s
000000112604.jpg, 14, 3, 1, 2.119 s
000000112604.jpg, 14, 3, 2, 0.792 s
000000112604.jpg, 14, 3, 2, 17.928 s
000000112604.jpg, 14, 4, 0, 1.447 s
000000112604.jpg, 14, 4, 1, 4.759 s
000000112604.jpg, 14, 4, 2, 3.392 s
000000112604.jpg, 14, 4, 3, 4.432 s
000000112604.jpg, 14, 5, 0, 2.655 s
000000112604.jpg, 14, 5, 1, 3.176 s
000000112604.jpg, 14, 5, 2, 2.040 s
000000112604.jpg, 14, 5, 2, 3.137 s
000000112604.jpg, 14, 5, 3, 1.591 s
000000112604.jpg, 14, 5, 4, 7.088 s
'000000112604.jpg', 99.868
000000119337.jpg, 15, 1, 0, 6.594 s
000000119337.jpg, 15, 2, 0, 0.743 s
000000119337.jpg, 15, 2, 1, 1.624 s
000000119337.jpg, 15, 3, 0, 1.895 s
000000119337.jpg, 15, 3, 1, 1.775 s
000000119337.jpg, 15, 3, 2, 15.408 s
000000119337.jpg, 15, 4, 0, 1.719 s
000000119337.jpg, 15, 4, 1, 1.872 s
000000119337.jpg, 15, 4, 2, 3.495 s
000000119337.jpg, 15, 4, 3, 9.648 s
000000119337.jpg, 15, 5, 0, 3.200 s
000000119337.jpg, 15, 5, 1, 1.304 s
000000119337.jpg, 15, 5, 2, 2.735 s
000000119337.jpg, 15, 5, 3, 6.503 s
000000119337.jpg, 15, 5, 4, 4.320 s
'000000119337.jpg', 69.483
000000120148.jpg, 16, 1, 0, 6.473 s
000000120148.jpg, 16, 2, 0, 1.103 s
000000120148.jpg, 16, 2, 1, 8.695 s
000000120148.jpg, 16, 3, 0, 2.088 s
000000120148.jpg, 16, 3, 1, 1.399 s
000000120148.jpg, 16, 3, 2, 0.023 s
000000120148.jpg, 16, 3, 2, 16.616 s
000000120148.jpg, 16, 4, 0, 1.816 s
000000120148.jpg, 16, 4, 1, 2.311 s
000000120148.jpg, 16, 4, 2, 4.376 s
000000120148.jpg, 16, 4, 3, 12.088 s
000000120148.jpg, 16, 5, 0, 2.184 s
000000120148.jpg, 16, 5, 1, 5.640 s
000000120148.jpg, 16, 5, 2, 14.848 s
000000120148.jpg, 16, 5, 3, 8.360 s
000000120148.jpg, 16, 5, 4, 5.464 s
'000000120148.jpg', 98.466
000000136811.jpg, 17, 1, 0, 54.705 s
000000136811.jpg, 17, 2, 0, 0.840 s
000000136811.jpg, 17, 2, 1, 2.232 s
000000136811.jpg, 17, 3, 0, 1.271 s
000000136811.jpg, 17, 3, 1, 2.280 s
000000136811.jpg, 17, 3, 2, 2.664 s
000000136811.jpg, 17, 3, 2, 4.368 s
000000136811.jpg, 17, 4, 0, 2.455 s
000000136811.jpg, 17, 4, 1, 2.000 s
000000136811.jpg, 17, 4, 2, 1.752 s
000000136811.jpg, 17, 4, 3, 4.487 s
000000136811.jpg, 17, 5, 0, 2.432 s
000000136811.jpg, 17, 5, 0, 1.128 s
000000136811.jpg, 17, 5, 1, 2.087 s
000000136811.jpg, 17, 5, 2, 1.903 s
000000136811.jpg, 17, 5, 3, 1.392 s
000000136811.jpg, 17, 5, 4, 4.271 s
'000000136811.jpg', 99.050
000000149833.jpg, 18, 1, 0, 16.768 s
000000149833.jpg, 18, 2, 0, 1.095 s
000000149833.jpg, 18, 2, 1, 3.335 s
000000149833.jpg, 18, 3, 0, 1.976 s
000000149833.jpg, 18, 3, 1, 1.271 s
000000149833.jpg, 18, 3, 2, 7.496 s
000000149833.jpg, 18, 4, 0, 1.407 s
000000149833.jpg, 18, 4, 1, 2.024 s
000000149833.jpg, 18, 4, 2, 1.888 s
000000149833.jpg, 18, 4, 3, 3.384 s
000000149833.jpg, 18, 5, 0, 2.047 s
000000149833.jpg, 18, 5, 1, 1.136 s
000000149833.jpg, 18, 5, 2, 1.520 s
000000149833.jpg, 18, 5, 3, 1.552 s
000000149833.jpg, 18, 5, 4, 4.823 s
'000000149833.jpg', 58.313
000000172778.jpg, 19, 1, 0, 15.282 s
000000172778.jpg, 19, 2, 0, 0.799 s
000000172778.jpg, 19, 2, 1, 6.720 s
000000172778.jpg, 19, 3, 0, 3.231 s
000000172778.jpg, 19, 3, 1, 1.632 s
000000172778.jpg, 19, 3, 1, 1.025 s
000000172778.jpg, 19, 3, 1, 2.256 s
000000172778.jpg, 19, 3, 2, 6.639 s
000000172778.jpg, 19, 4, 0, 1.375 s
000000172778.jpg, 19, 4, 1, 2.104 s
000000172778.jpg, 19, 4, 2, 2.152 s
000000172778.jpg, 19, 4, 3, 9.888 s
000000172778.jpg, 19, 5, 0, 1.847 s
000000172778.jpg, 19, 5, 1, 2.344 s
000000172778.jpg, 19, 5, 0, 0.617 s
000000172778.jpg, 19, 5, 1, 2.480 s
000000172778.jpg, 19, 5, 2, 3.520 s
000000172778.jpg, 19, 5, 3, 5.679 s
000000172778.jpg, 19, 5, 4, 5.831 s
'000000172778.jpg', 86.130
000000178020.jpg, 20, 1, 0, 59.945 s
000000178020.jpg, 20, 2, 0, 1.096 s
000000178020.jpg, 20, 2, 1, 4.672 s
000000178020.jpg, 20, 3, 0, 1.760 s
000000178020.jpg, 20, 3, 1, 1.112 s
000000178020.jpg, 20, 3, 2, 1.487 s
000000178020.jpg, 20, 4, 0, 1.135 s
000000178020.jpg, 20, 4, 1, 0.648 s
000000178020.jpg, 20, 4, 2, 0.880 s
000000178020.jpg, 20, 4, 3, 5.184 s
000000178020.jpg, 20, 5, 0, 1.320 s
000000178020.jpg, 20, 5, 1, 0.672 s
000000178020.jpg, 20, 5, 2, 0.608 s
000000178020.jpg, 20, 5, 3, 2.128 s
000000178020.jpg, 20, 5, 4, 2.824 s
'000000178020.jpg', 90.497
000000190647.jpg, 21, 1, 0, 4.961 s
000000190647.jpg, 21, 2, 0, 1.008 s
000000190647.jpg, 21, 2, 1, 8.328 s
000000190647.jpg, 21, 3, 0, 2.015 s
000000190647.jpg, 21, 3, 1, 1.608 s
000000190647.jpg, 21, 3, 2, 8.599 s
000000190647.jpg, 21, 4, 0, 1.656 s
000000190647.jpg, 21, 4, 1, 1.680 s
000000190647.jpg, 21, 4, 2, 2.848 s
000000190647.jpg, 21, 4, 3, 38.520 s
000000190647.jpg, 21, 4, 3, 41.608 s
000000190647.jpg, 21, 4, 3, 47.552 s
000000190647.jpg, 21, 4, 3, 50.048 s
000000190647.jpg, 21, 5, 0, 3.247 s
000000190647.jpg, 21, 5, 1, 2.288 s
000000190647.jpg, 21, 5, 2, 20.472 s
000000190647.jpg, 21, 5, 3, 16.104 s
000000190647.jpg, 21, 5, 4, 7.704 s
'000000190647.jpg', 140.570
000000191450.jpg, 22, 1, 0, 21.922 s
000000191450.jpg, 22, 1, 0, 28.410 s
000000191450.jpg, 22, 2, 0, 1.392 s
000000191450.jpg, 22, 2, 1, 6.335 s
000000191450.jpg, 22, 3, 0, 2.463 s
000000191450.jpg, 22, 3, 1, 2.343 s
000000191450.jpg, 22, 3, 2, 6.391 s
000000191450.jpg, 22, 4, 0, 2.927 s
000000191450.jpg, 22, 4, 1, 2.392 s
000000191450.jpg, 22, 4, 2, 7.984 s
000000191450.jpg, 22, 4, 3, 2.704 s
