Time Log File
ImageName, CurreintImageIndex, CurrentColorStep, ActiveColorIndex, TimeElapsed s
000000010432.jpg, 0, 1, 0, 55.036 s
000000010432.jpg, 0, 2, 0, 4.531 s
000000010432.jpg, 0, 2, 1, 3.030 s
000000010432.jpg, 0, 2, 0, 1.273 s
000000010432.jpg, 0, 2, 1, 1.825 s
000000010432.jpg, 0, 2, 0, 0.449 s
000000010432.jpg, 0, 2, 1, 0.382 s
000000010432.jpg, 0, 1, 0, 21.978 s
000000010432.jpg, 0, 1, 0, 24.346 s
000000010432.jpg, 0, 1, 0, 26.859 s
000000010432.jpg, 0, 2, 0, 8.236 s
000000010432.jpg, 0, 2, 1, 15.614 s
000000010432.jpg, 0, 3, 0, 5.075 s
000000010432.jpg, 0, 3, 1, 16.911 s
000000010432.jpg, 0, 3, 2, 15.015 s
000000010432.jpg, 0, 4, 0, 8.259 s
000000010432.jpg, 0, 4, 1, 9.887 s
000000010432.jpg, 0, 4, 2, 6.119 s
000000010432.jpg, 0, 4, 3, 22.007 s
000000010432.jpg, 0, 5, 0, 5.555 s
000000010432.jpg, 0, 5, 1, 8.375 s
000000010432.jpg, 0, 5, 2, 6.847 s
000000010432.jpg, 0, 5, 3, 12.967 s
000000010432.jpg, 0, 5, 4, 34.343 s
'000000010432.jpg', 305.183
000000014824.jpg, 1, 1, 0, 19.378 s
000000014824.jpg, 1, 2, 0, 3.883 s
000000014824.jpg, 1, 2, 1, 15.255 s
000000014824.jpg, 1, 3, 0, 7.188 s
000000014824.jpg, 1, 3, 1, 6.639 s
000000014824.jpg, 1, 3, 2, 10.734 s
000000014824.jpg, 1, 4, 0, 8.251 s
000000014824.jpg, 1, 4, 1, 7.839 s
000000014824.jpg, 1, 4, 2, 8.870 s
000000014824.jpg, 1, 4, 3, 73.615 s
000000014824.jpg, 1, 5, 0, 46.043 s
000000014824.jpg, 1, 5, 1, 3.142 s
000000014824.jpg, 1, 5, 2, 8.919 s
000000014824.jpg, 1, 5, 3, 3.959 s
000000014824.jpg, 1, 5, 4, 15.526 s
'000000014824.jpg', 249.460
000000022423.jpg, 2, 1, 0, 15.464 s
000000022423.jpg, 2, 2, 0, 1.475 s
000000022423.jpg, 2, 2, 1, 7.519 s
000000022423.jpg, 2, 3, 0, 1.852 s
000000022423.jpg, 2, 3, 1, 3.623 s
000000022423.jpg, 2, 3, 2, 13.543 s
000000022423.jpg, 2, 4, 0, 3.075 s
000000022423.jpg, 2, 4, 1, 1.374 s
000000022423.jpg, 2, 4, 2, 5.696 s
000000022423.jpg, 2, 4, 3, 13.087 s
000000022423.jpg, 2, 5, 0, 4.147 s
000000022423.jpg, 2, 5, 1, 3.397 s
000000022423.jpg, 2, 5, 2, 8.408 s
000000022423.jpg, 2, 5, 3, 3.103 s
000000022423.jpg, 2, 5, 4, 12.103 s
'000000022423.jpg', 103.700
000000023019.jpg, 3, 1, 0, 25.717 s
000000023019.jpg, 3, 2, 0, 1.228 s
000000023019.jpg, 3, 2, 1, 9.783 s
000000023019.jpg, 3, 3, 0, 1.172 s
000000023019.jpg, 3, 3, 1, 3.647 s
