Time Log File
ImageName, CurreintImageIndex, CurrentColorStep, ActiveColorIndex, TimeElapsed s
000000010432.jpg, 0, 1, 0, 58.501 s
000000010432.jpg, 0, 2, 0, 1.787 s
000000010432.jpg, 0, 2, 1, 18.354 s
000000010432.jpg, 0, 2, 0, 0.680 s
000000010432.jpg, 0, 2, 1, 0.330 s
000000010432.jpg, 0, 2, 1, 0.563 s
000000010432.jpg, 0, 1, 0, 23.727 s
000000010432.jpg, 0, 1, 0, 39.887 s
000000010432.jpg, 0, 1, 0, 41.185 s
000000010432.jpg, 0, 1, 0, 42.375 s
000000010432.jpg, 0, 1, 0, 48.280 s
000000010432.jpg, 0, 1, 0, 57.071 s
000000010432.jpg, 0, 1, 0, 61.792 s
000000010432.jpg, 0, 2, 0, 6.673 s
000000010432.jpg, 0, 2, 1, 27.207 s
000000010432.jpg, 0, 3, 0, 13.959 s
000000010432.jpg, 0, 3, 1, 7.467 s
000000010432.jpg, 0, 3, 2, 29.754 s
000000010432.jpg, 0, 4, 0, 6.613 s
000000010432.jpg, 0, 4, 1, 6.563 s
000000010432.jpg, 0, 4, 2, 15.191 s
000000010432.jpg, 0, 4, 3, 13.925 s
000000010432.jpg, 0, 4, 3, 18.781 s
000000010432.jpg, 0, 4, 3, 20.750 s
000000010432.jpg, 0, 4, 3, 24.004 s
000000010432.jpg, 0, 4, 3, 30.653 s
000000010432.jpg, 0, 5, 0, 5.546 s
000000010432.jpg, 0, 5, 1, 3.012 s
000000010432.jpg, 0, 5, 0, 2.696 s
000000010432.jpg, 0, 5, 1, 6.354 s
000000010432.jpg, 0, 5, 2, 8.611 s
000000010432.jpg, 0, 5, 3, 6.171 s
000000010432.jpg, 0, 5, 4, 24.698 s
000000010432.jpg, 0, 5, 4, 27.100 s
000000010432.jpg, 0, 5, 4, 28.370 s
000000010432.jpg, 0, 5, 4, 29.219 s
000000010432.jpg, 0, 5, 4, 30.442 s
000000010432.jpg, 0, 5, 4, 31.386 s
000000010432.jpg, 0, 5, 4, 32.036 s
'000000010432.jpg', 390.827
000000014824.jpg, 1, 1, 0, 46.610 s
000000014824.jpg, 1, 1, 0, 58.441 s
000000014824.jpg, 1, 1, 0, 65.570 s
000000014824.jpg, 1, 2, 0, 6.562 s
000000014824.jpg, 1, 2, 1, 20.125 s
000000014824.jpg, 1, 3, 0, 6.314 s
000000014824.jpg, 1, 3, 1, 18.355 s
000000014824.jpg, 1, 3, 2, 27.029 s
000000014824.jpg, 1, 4, 0, 12.944 s
000000014824.jpg, 1, 4, 1, 7.850 s
000000014824.jpg, 1, 4, 2, 11.500 s
000000014824.jpg, 1, 4, 3, 37.476 s
000000014824.jpg, 1, 4, 3, 49.956 s
000000014824.jpg, 1, 5, 0, 7.746 s
000000014824.jpg, 1, 5, 1, 12.225 s
000000014824.jpg, 1, 5, 2, 6.556 s
000000014824.jpg, 1, 5, 3, 33.212 s
000000014824.jpg, 1, 5, 4, 42.547 s
000000014824.jpg, 1, 5, 4, 46.939 s
000000014824.jpg, 1, 5, 4, 48.667 s
'000000014824.jpg', 373.297
000000022423.jpg, 2, 1, 0, 25.678 s
000000022423.jpg, 2, 1, 0, 29.886 s
000000022423.jpg, 2, 1, 0, 34.470 s
000000022423.jpg, 2, 1, 0, 44.028 s
000000022423.jpg, 2, 2, 0, 15.586 s
000000022423.jpg, 2, 2, 1, 17.884 s
000000022423.jpg, 2, 3, 0, 18.757 s
000000022423.jpg, 2, 3, 1, 19.235 s
000000022423.jpg, 2, 3, 2, 31.436 s
000000022423.jpg, 2, 3, 2, 35.219 s
000000022423.jpg, 2, 3, 2, 37.891 s
000000022423.jpg, 2, 4, 0, 35.345 s
000000022423.jpg, 2, 4, 1, 12.308 s
000000022423.jpg, 2, 4, 2, 19.636 s
000000022423.jpg, 2, 4, 3, 16.229 s
000000022423.jpg, 2, 4, 3, 28.532 s
000000022423.jpg, 2, 5, 0, 17.576 s
000000022423.jpg, 2, 5, 1, 13.452 s
000000022423.jpg, 2, 5, 2, 19.092 s
000000022423.jpg, 2, 5, 3, 4.499 s
000000022423.jpg, 2, 5, 3, 12.248 s
000000022423.jpg, 2, 5, 4, 22.099 s
'000000022423.jpg', 363.916
000000023019.jpg, 3, 1, 0, 38.646 s
000000023019.jpg, 3, 1, 0, 71.606 s
000000023019.jpg, 3, 1, 0, 74.870 s
000000023019.jpg, 3, 1, 0, 79.718 s
000000023019.jpg, 3, 2, 0, 13.137 s
000000023019.jpg, 3, 2, 1, 41.965 s
000000023019.jpg, 3, 3, 0, 13.761 s
000000023019.jpg, 3, 3, 1, 13.780 s
000000023019.jpg, 3, 3, 2, 70.257 s
000000023019.jpg, 3, 3, 2, 76.706 s
000000023019.jpg, 3, 3, 2, 107.370 s
000000023019.jpg, 3, 4, 0, 3.185 s
000000023019.jpg, 3, 4, 1, 17.635 s
000000023019.jpg, 3, 4, 2, 13.796 s
000000023019.jpg, 3, 4, 3, 23.277 s
000000023019.jpg, 3, 4, 3, 25.276 s
000000023019.jpg, 3, 4, 1, 7.831 s
000000023019.jpg, 3, 4, 1, 1.698 s
000000023019.jpg, 3, 4, 3, 30.744 s
000000023019.jpg, 3, 4, 3, 33.088 s
000000023019.jpg, 3, 4, 3, 43.528 s
000000023019.jpg, 3, 4, 3, 47.544 s
000000023019.jpg, 3, 5, 0, 6.018 s
000000023019.jpg, 3, 5, 1, 49.738 s
000000023019.jpg, 3, 5, 2, 9.402 s
000000023019.jpg, 3, 5, 3, 7.556 s
000000023019.jpg, 3, 5, 3, 3.735 s
000000023019.jpg, 3, 5, 4, 4.235 s
'000000023019.jpg', 509.841
000000029255.jpg, 4, 1, 0, 23.238 s
000000029255.jpg, 4, 1, 0, 25.429 s
000000029255.jpg, 4, 2, 0, 4.476 s
000000029255.jpg, 4, 2, 1, 9.886 s
000000029255.jpg, 4, 2, 1, 13.653 s
000000029255.jpg, 4, 2, 1, 18.893 s
000000029255.jpg, 4, 3, 0, 12.637 s
000000029255.jpg, 4, 3, 1, 5.099 s
000000029255.jpg, 4, 3, 2, 8.309 s
000000029255.jpg, 4, 3, 2, 19.189 s
000000029255.jpg, 4, 4, 0, 4.243 s
000000029255.jpg, 4, 4, 1, 11.034 s
000000029255.jpg, 4, 4, 2, 10.131 s
000000029255.jpg, 4, 4, 3, 8.869 s
000000029255.jpg, 4, 4, 3, 12.363 s
000000029255.jpg, 4, 4, 3, 13.899 s
000000029255.jpg, 4, 4, 3, 15.684 s
000000029255.jpg, 4, 4, 3, 17.861 s
000000029255.jpg, 4, 5, 0, 4.650 s
000000029255.jpg, 4, 5, 1, 38.443 s
000000029255.jpg, 4, 5, 2, 7.619 s
000000029255.jpg, 4, 5, 3, 8.044 s
000000029255.jpg, 4, 5, 4, 2.907 s
000000029255.jpg, 4, 5, 3, 1.272 s
000000029255.jpg, 4, 5, 4, 9.875 s
'000000029255.jpg', 222.083
000000034221.jpg, 5, 1, 0, 16.515 s
000000034221.jpg, 5, 2, 0, 2.165 s
000000034221.jpg, 5, 2, 1, 12.188 s
000000034221.jpg, 5, 2, 1, 16.533 s
000000034221.jpg, 5, 2, 1, 19.036 s
000000034221.jpg, 5, 2, 1, 20.404 s
000000034221.jpg, 5, 2, 1, 21.307 s
000000034221.jpg, 5, 2, 1, 22.524 s
000000034221.jpg, 5, 2, 1, 23.891 s
000000034221.jpg, 5, 2, 1, 24.347 s
000000034221.jpg, 5, 2, 1, 31.973 s
000000034221.jpg, 5, 2, 1, 33.821 s
000000034221.jpg, 5, 2, 1, 34.900 s
000000034221.jpg, 5, 2, 1, 35.852 s
000000034221.jpg, 5, 3, 0, 3.244 s
000000034221.jpg, 5, 3, 1, 0.900 s
000000034221.jpg, 5, 3, 0, 3.345 s
000000034221.jpg, 5, 3, 1, 12.355 s
000000034221.jpg, 5, 3, 2, 48.268 s
000000034221.jpg, 5, 3, 2, 72.652 s
000000034221.jpg, 5, 4, 0, 2.987 s
000000034221.jpg, 5, 4, 1, 11.437 s
000000034221.jpg, 5, 4, 2, 10.611 s
000000034221.jpg, 5, 4, 3, 14.164 s
000000034221.jpg, 5, 4, 3, 16.653 s
000000034221.jpg, 5, 4, 3, 17.581 s
000000034221.jpg, 5, 4, 3, 18.540 s
000000034221.jpg, 5, 4, 3, 19.156 s
000000034221.jpg, 5, 4, 3, 19.781 s
000000034221.jpg, 5, 4, 3, 22.132 s
000000034221.jpg, 5, 4, 3, 22.660 s
000000034221.jpg, 5, 4, 3, 23.052 s
000000034221.jpg, 5, 4, 3, 23.748 s
000000034221.jpg, 5, 4, 3, 24.317 s
000000034221.jpg, 5, 5, 0, 3.088 s
000000034221.jpg, 5, 5, 1, 4.010 s
000000034221.jpg, 5, 5, 2, 8.922 s
000000034221.jpg, 5, 5, 3, 7.453 s
000000034221.jpg, 5, 5, 4, 2.297 s
000000034221.jpg, 5, 5, 3, 1.216 s
000000034221.jpg, 5, 5, 3, 1.192 s
000000034221.jpg, 5, 5, 4, 10.036 s
000000034221.jpg, 5, 5, 4, 13.611 s
000000034221.jpg, 5, 5, 4, 16.507 s
'000000034221.jpg', 267.054
000000050735.jpg, 6, 1, 0, 36.408 s
000000050735.jpg, 6, 2, 0, 3.939 s
000000050735.jpg, 6, 2, 1, 8.445 s
000000050735.jpg, 6, 2, 1, 10.413 s
000000050735.jpg, 6, 2, 1, 12.885 s
000000050735.jpg, 6, 2, 1, 14.725 s
000000050735.jpg, 6, 2, 1, 16.853 s
000000050735.jpg, 6, 2, 1, 17.485 s
000000050735.jpg, 6, 3, 0, 8.281 s
000000050735.jpg, 6, 3, 1, 4.516 s
000000050735.jpg, 6, 3, 2, 12.404 s
000000050735.jpg, 6, 3, 2, 14.588 s
000000050735.jpg, 6, 3, 2, 17.084 s
000000050735.jpg, 6, 3, 2, 18.964 s
000000050735.jpg, 6, 3, 2, 24.012 s
000000050735.jpg, 6, 3, 2, 24.620 s
000000050735.jpg, 6, 4, 0, 10.682 s
000000050735.jpg, 6, 4, 1, 4.676 s
000000050735.jpg, 6, 4, 2, 10.116 s
000000050735.jpg, 6, 4, 2, 2.144 s
000000050735.jpg, 6, 4, 3, 7.675 s
000000050735.jpg, 6, 5, 0, 13.145 s
000000050735.jpg, 6, 5, 1, 4.180 s
000000050735.jpg, 6, 5, 2, 10.387 s
000000050735.jpg, 6, 5, 2, 2.463 s
000000050735.jpg, 6, 5, 3, 8.716 s
000000050735.jpg, 6, 5, 4, 15.442 s
'000000050735.jpg', 214.476
000000056322.jpg, 7, 1, 0, 31.825 s
000000056322.jpg, 7, 2, 0, 2.283 s
000000056322.jpg, 7, 2, 1, 5.309 s
000000056322.jpg, 7, 2, 1, 7.821 s
000000056322.jpg, 7, 3, 0, 4.276 s
000000056322.jpg, 7, 3, 1, 5.261 s
000000056322.jpg, 7, 3, 2, 13.268 s
000000056322.jpg, 7, 3, 2, 17.924 s
000000056322.jpg, 7, 3, 2, 22.380 s
000000056322.jpg, 7, 4, 0, 6.378 s
000000056322.jpg, 7, 4, 1, 3.156 s
000000056322.jpg, 7, 4, 0, 3.280 s
000000056322.jpg, 7, 4, 1, 7.068 s
000000056322.jpg, 7, 4, 2, 10.724 s
000000056322.jpg, 7, 4, 2, 2.968 s
000000056322.jpg, 7, 4, 3, 18.652 s
000000056322.jpg, 7, 4, 3, 25.765 s
000000056322.jpg, 7, 4, 3, 30.836 s
000000056322.jpg, 7, 4, 3, 32.956 s
000000056322.jpg, 7, 5, 0, 3.248 s
000000056322.jpg, 7, 5, 1, 15.772 s
000000056322.jpg, 7, 5, 2, 6.627 s
000000056322.jpg, 7, 5, 3, 2.148 s
000000056322.jpg, 7, 5, 2, 1.552 s
000000056322.jpg, 7, 5, 2, 1.608 s
000000056322.jpg, 7, 5, 3, 6.732 s
000000056322.jpg, 7, 5, 3, 1.472 s
000000056322.jpg, 7, 5, 4, 6.244 s
'000000056322.jpg', 222.561
000000062589.jpg, 8, 1, 0, 4.477 s
000000062589.jpg, 8, 1, 0, 9.973 s
000000062589.jpg, 8, 1, 0, 12.941 s
000000062589.jpg, 8, 1, 0, 16.670 s
000000062589.jpg, 8, 1, 0, 17.558 s
000000062589.jpg, 8, 1, 0, 18.068 s
000000062589.jpg, 8, 1, 0, 18.510 s
000000062589.jpg, 8, 2, 0, 14.397 s
000000062589.jpg, 8, 2, 1, 2.923 s
000000062589.jpg, 8, 3, 0, 2.010 s
000000062589.jpg, 8, 3, 1, 2.709 s
000000062589.jpg, 8, 3, 2, 21.044 s
000000062589.jpg, 8, 4, 0, 2.012 s
000000062589.jpg, 8, 4, 1, 1.788 s
000000062589.jpg, 8, 4, 2, 6.243 s
000000062589.jpg, 8, 4, 3, 10.163 s
000000062589.jpg, 8, 4, 3, 14.796 s
000000062589.jpg, 8, 4, 3, 19.125 s
000000062589.jpg, 8, 4, 3, 20.068 s
000000062589.jpg, 8, 5, 0, 3.626 s
000000062589.jpg, 8, 5, 1, 1.651 s
000000062589.jpg, 8, 5, 2, 5.452 s
000000062589.jpg, 8, 5, 3, 6.428 s
000000062589.jpg, 8, 5, 4, 7.020 s
000000062589.jpg, 8, 5, 4, 12.741 s
000000062589.jpg, 8, 5, 4, 18.788 s
'000000062589.jpg', 154.265
000000076930.jpg, 9, 1, 0, 16.024 s
000000076930.jpg, 9, 2, 0, 8.637 s
000000076930.jpg, 9, 2, 1, 21.213 s
000000076930.jpg, 9, 3, 0, 6.337 s
000000076930.jpg, 9, 3, 1, 5.131 s
000000076930.jpg, 9, 3, 2, 40.861 s
000000076930.jpg, 9, 4, 0, 17.611 s
000000076930.jpg, 9, 4, 1, 3.684 s
000000076930.jpg, 9, 4, 2, 29.155 s
000000076930.jpg, 9, 4, 3, 8.893 s
000000076930.jpg, 9, 5, 0, 4.481 s
000000076930.jpg, 9, 5, 1, 3.492 s
000000076930.jpg, 9, 5, 1, 2.080 s
000000076930.jpg, 9, 5, 2, 26.891 s
000000076930.jpg, 9, 5, 2, 1.032 s
000000076930.jpg, 9, 5, 2, 1.231 s
000000076930.jpg, 9, 5, 3, 4.747 s
000000076930.jpg, 9, 5, 3, 0.927 s
000000076930.jpg, 9, 5, 4, 8.292 s
'000000076930.jpg', 263.475
000000083368.jpg, 10, 1, 0, 21.880 s
000000083368.jpg, 10, 1, 0, 26.824 s
000000083368.jpg, 10, 1, 0, 27.416 s
000000083368.jpg, 10, 1, 0, 28.048 s
000000083368.jpg, 10, 1, 0, 32.320 s
000000083368.jpg, 10, 2, 0, 2.891 s
000000083368.jpg, 10, 2, 1, 10.924 s
000000083368.jpg, 10, 3, 0, 6.507 s
000000083368.jpg, 10, 3, 1, 2.723 s
000000083368.jpg, 10, 3, 2, 6.493 s
000000083368.jpg, 10, 3, 2, 8.534 s
000000083368.jpg, 10, 4, 0, 5.025 s
000000083368.jpg, 10, 4, 0, 11.224 s
000000083368.jpg, 10, 4, 1, 2.547 s
000000083368.jpg, 10, 4, 2, 7.413 s
000000083368.jpg, 10, 4, 3, 9.228 s
000000083368.jpg, 10, 5, 0, 3.243 s
000000083368.jpg, 10, 5, 0, 4.248 s
000000083368.jpg, 10, 5, 1, 4.341 s
000000083368.jpg, 10, 5, 2, 10.947 s
000000083368.jpg, 10, 5, 3, 2.346 s
000000083368.jpg, 10, 5, 4, 23.141 s
'000000083368.jpg', 165.278
000000085269.jpg, 11, 1, 0, 13.961 s
000000085269.jpg, 11, 1, 0, 16.154 s
000000085269.jpg, 11, 2, 0, 1.699 s
000000085269.jpg, 11, 2, 1, 15.062 s
000000085269.jpg, 11, 3, 0, 9.706 s
000000085269.jpg, 11, 3, 1, 15.340 s
000000085269.jpg, 11, 3, 1, 1.416 s
000000085269.jpg, 11, 3, 2, 11.596 s
000000085269.jpg, 11, 4, 0, 3.587 s
000000085269.jpg, 11, 4, 1, 5.651 s
000000085269.jpg, 11, 4, 2, 6.076 s
000000085269.jpg, 11, 4, 3, 9.675 s
000000085269.jpg, 11, 4, 3, 14.988 s
000000085269.jpg, 11, 5, 0, 5.866 s
000000085269.jpg, 11, 5, 1, 6.204 s
000000085269.jpg, 11, 5, 2, 5.979 s
000000085269.jpg, 11, 5, 3, 7.475 s
000000085269.jpg, 11, 5, 4, 9.572 s
'000000085269.jpg', 148.206
000000109586.jpg, 12, 1, 0, 14.524 s
000000109586.jpg, 12, 2, 0, 1.066 s
