Time Log File
ImageName, CurreintImageIndex, CurrentColorStep, ActiveColorIndex, TimeElapsed s
000000010432.jpg, 0, 1, 0, 48.859 s
000000010432.jpg, 0, 2, 0, 2.153 s
000000010432.jpg, 0, 2, 1, 5.607 s
000000010432.jpg, 0, 3, 0, 43.040 s
000000010432.jpg, 0, 3, 1, 6.462 s
000000010432.jpg, 0, 3, 2, 15.487 s
000000010432.jpg, 0, 4, 0, 5.807 s
000000010432.jpg, 0, 4, 1, 5.679 s
000000010432.jpg, 0, 4, 2, 8.351 s
000000010432.jpg, 0, 4, 3, 4.895 s
000000010432.jpg, 0, 5, 0, 19.888 s
000000010432.jpg, 0, 5, 1, 5.391 s
000000010432.jpg, 0, 5, 2, 3.695 s
000000010432.jpg, 0, 5, 3, 3.543 s
000000010432.jpg, 0, 5, 4, 1.318 s
'000000010432.jpg', 234.370
000000014824.jpg, 1, 1, 0, 20.519 s
000000014824.jpg, 1, 2, 0, 9.275 s
000000014824.jpg, 1, 2, 1, 4.983 s
000000014824.jpg, 1, 3, 0, 14.467 s
000000014824.jpg, 1, 3, 1, 4.687 s
000000014824.jpg, 1, 3, 2, 3.399 s
000000014824.jpg, 1, 4, 0, 6.011 s
000000014824.jpg, 1, 4, 1, 4.295 s
000000014824.jpg, 1, 4, 2, 2.127 s
000000014824.jpg, 1, 4, 3, 2.815 s
000000014824.jpg, 1, 4, 3, 4.551 s
000000014824.jpg, 1, 5, 0, 13.648 s
000000014824.jpg, 1, 5, 1, 1.071 s
000000014824.jpg, 1, 5, 2, 1.599 s
000000014824.jpg, 1, 5, 3, 3.207 s
000000014824.jpg, 1, 5, 4, 1.535 s
'000000014824.jpg', 106.158
000000022423.jpg, 2, 1, 0, 36.308 s
000000022423.jpg, 2, 2, 0, 3.055 s
000000022423.jpg, 2, 2, 1, 4.000 s
000000022423.jpg, 2, 3, 0, 4.040 s
000000022423.jpg, 2, 3, 1, 1.239 s
000000022423.jpg, 2, 3, 2, 14.367 s
000000022423.jpg, 2, 4, 0, 2.288 s
000000022423.jpg, 2, 4, 1, 1.351 s
000000022423.jpg, 2, 4, 1, 0.913 s
000000022423.jpg, 2, 4, 0, 1.729 s
000000022423.jpg, 2, 4, 2, 3.289 s
000000022423.jpg, 2, 4, 3, 9.383 s
000000022423.jpg, 2, 5, 0, 2.447 s
000000022423.jpg, 2, 5, 1, 2.918 s
000000022423.jpg, 2, 5, 2, 4.840 s
000000022423.jpg, 2, 5, 3, 16.191 s
000000022423.jpg, 2, 5, 4, 5.463 s
'000000022423.jpg', 126.828
000000023019.jpg, 3, 1, 0, 163.833 s
000000023019.jpg, 3, 2, 0, 11.856 s
000000023019.jpg, 3, 2, 1, 3.479 s
000000023019.jpg, 3, 3, 0, 5.232 s
000000023019.jpg, 3, 3, 1, 4.479 s
000000023019.jpg, 3, 3, 2, 3.440 s
000000023019.jpg, 3, 4, 0, 5.432 s
000000023019.jpg, 3, 4, 1, 5.695 s
000000023019.jpg, 3, 4, 2, 4.935 s
