Time Log File
ImageName, CurreintImageIndex, CurrentColorStep, ActiveColorIndex, TimeElapsed s
000000010432.jpg, 0, 1, 0, 26.641 s
000000010432.jpg, 0, 1, 0, 29.484 s
000000010432.jpg, 0, 2, 0, 7.352 s
000000010432.jpg, 0, 2, 1, 20.775 s
000000010432.jpg, 0, 3, 0, 12.831 s
000000010432.jpg, 0, 3, 1, 5.712 s
000000010432.jpg, 0, 3, 2, 1.080 s
000000010432.jpg, 0, 3, 2, 14.984 s
000000010432.jpg, 0, 4, 0, 5.119 s
000000010432.jpg, 0, 4, 1, 3.656 s
000000010432.jpg, 0, 4, 2, 2.143 s
000000010432.jpg, 0, 4, 2, 6.313 s
000000010432.jpg, 0, 4, 3, 12.496 s
000000010432.jpg, 0, 5, 0, 2.647 s
000000010432.jpg, 0, 5, 1, 4.031 s
000000010432.jpg, 0, 5, 2, 6.839 s
000000010432.jpg, 0, 5, 3, 8.072 s
000000010432.jpg, 0, 5, 4, 23.816 s
'000000010432.jpg', 259.987
000000014824.jpg, 1, 1, 0, 10.528 s
000000014824.jpg, 1, 2, 0, 4.903 s
000000014824.jpg, 1, 2, 1, 12.136 s
000000014824.jpg, 1, 3, 0, 5.312 s
000000014824.jpg, 1, 3, 1, 2.424 s
000000014824.jpg, 1, 3, 2, 12.200 s
000000014824.jpg, 1, 4, 0, 10.464 s
000000014824.jpg, 1, 4, 1, 3.984 s
000000014824.jpg, 1, 4, 2, 4.447 s
000000014824.jpg, 1, 4, 3, 44.991 s
000000014824.jpg, 1, 5, 0, 4.863 s
000000014824.jpg, 1, 5, 1, 7.544 s
000000014824.jpg, 1, 5, 2, 13.240 s
000000014824.jpg, 1, 5, 3, 16.871 s
000000014824.jpg, 1, 5, 4, 6.399 s
'000000014824.jpg', 170.001
000000022423.jpg, 2, 1, 0, 8.965 s
000000022423.jpg, 2, 2, 0, 5.703 s
000000022423.jpg, 2, 2, 1, 3.824 s
000000022423.jpg, 2, 3, 0, 3.519 s
000000022423.jpg, 2, 3, 1, 9.016 s
000000022423.jpg, 2, 3, 2, 9.912 s
000000022423.jpg, 2, 4, 0, 11.456 s
000000022423.jpg, 2, 4, 1, 8.199 s
000000022423.jpg, 2, 4, 2, 5.080 s
000000022423.jpg, 2, 4, 3, 14.600 s
000000022423.jpg, 2, 5, 0, 5.446 s
000000022423.jpg, 2, 5, 1, 10.775 s
000000022423.jpg, 2, 5, 2, 8.880 s
000000022423.jpg, 2, 5, 3, 4.600 s
000000022423.jpg, 2, 5, 4, 3.975 s
'000000022423.jpg', 124.238
000000023019.jpg, 3, 1, 0, 13.763 s
000000023019.jpg, 3, 2, 0, 5.288 s
000000023019.jpg, 3, 2, 1, 8.224 s
000000023019.jpg, 3, 3, 0, 3.096 s
000000023019.jpg, 3, 3, 1, 4.064 s
000000023019.jpg, 3, 3, 2, 5.016 s
000000023019.jpg, 3, 4, 0, 9.576 s
000000023019.jpg, 3, 4, 1, 3.248 s
000000023019.jpg, 3, 4, 2, 8.679 s
000000023019.jpg, 3, 4, 3, 8.656 s
000000023019.jpg, 3, 5, 0, 23.696 s
000000023019.jpg, 3, 5, 1, 10.343 s
000000023019.jpg, 3, 5, 2, 8.360 s
000000023019.jpg, 3, 5, 3, 16.319 s
000000023019.jpg, 3, 5, 4, 5.991 s
000000023019.jpg, 3, 5, 4, 13.015 s
'000000023019.jpg', 149.260
000000029255.jpg, 4, 1, 0, 8.762 s
000000029255.jpg, 4, 2, 0, 2.352 s
000000029255.jpg, 4, 2, 1, 7.048 s
000000029255.jpg, 4, 3, 0, 2.040 s
000000029255.jpg, 4, 3, 1, 2.176 s
000000029255.jpg, 4, 3, 2, 1.880 s
000000029255.jpg, 4, 4, 0, 1.584 s
000000029255.jpg, 4, 4, 1, 1.160 s
000000029255.jpg, 4, 4, 2, 0.904 s
000000029255.jpg, 4, 4, 3, 3.384 s
000000029255.jpg, 4, 4, 3, 12.217 s
000000029255.jpg, 4, 5, 0, 5.832 s
000000029255.jpg, 4, 5, 1, 3.960 s
000000029255.jpg, 4, 5, 2, 2.168 s
000000029255.jpg, 4, 5, 3, 17.288 s
000000029255.jpg, 4, 5, 4, 5.232 s
'000000029255.jpg', 89.852
000000034221.jpg, 5, 1, 0, 9.643 s
000000034221.jpg, 5, 2, 0, 2.648 s
000000034221.jpg, 5, 2, 1, 5.440 s
000000034221.jpg, 5, 3, 0, 6.216 s
000000034221.jpg, 5, 3, 1, 7.447 s
000000034221.jpg, 5, 3, 2, 6.352 s
000000034221.jpg, 5, 4, 0, 8.896 s
000000034221.jpg, 5, 4, 1, 5.192 s
000000034221.jpg, 5, 4, 2, 5.896 s
000000034221.jpg, 5, 4, 3, 6.064 s
000000034221.jpg, 5, 5, 0, 18.127 s
000000034221.jpg, 5, 5, 1, 3.256 s
000000034221.jpg, 5, 5, 2, 3.543 s
000000034221.jpg, 5, 5, 3, 4.640 s
000000034221.jpg, 5, 5, 4, 18.520 s
'000000034221.jpg', 119.443
000000050735.jpg, 6, 1, 0, 16.420 s
000000050735.jpg, 6, 2, 0, 6.048 s
000000050735.jpg, 6, 2, 1, 7.215 s
000000050735.jpg, 6, 3, 0, 6.392 s
000000050735.jpg, 6, 3, 1, 3.784 s
000000050735.jpg, 6, 3, 2, 3.599 s
000000050735.jpg, 6, 3, 2, 5.159 s
000000050735.jpg, 6, 4, 0, 11.367 s
000000050735.jpg, 6, 4, 1, 7.735 s
000000050735.jpg, 6, 4, 2, 1.880 s
