Time Log File
ImageName, CurreintImageIndex, CurrentColorStep, ActiveColorIndex, TimeElapsed s
000000010432.jpg, 0, 1, 0, 17.547 s
000000010432.jpg, 0, 1, 0, 24.595 s
000000010432.jpg, 0, 2, 0, 3.767 s
000000010432.jpg, 0, 2, 1, 37.647 s
000000010432.jpg, 0, 3, 0, 8.015 s
000000010432.jpg, 0, 3, 1, 5.063 s
000000010432.jpg, 0, 3, 2, 10.559 s
000000010432.jpg, 0, 4, 0, 2.790 s
000000010432.jpg, 0, 4, 1, 5.695 s
000000010432.jpg, 0, 4, 2, 5.064 s
000000010432.jpg, 0, 4, 3, 8.231 s
000000010432.jpg, 0, 5, 0, 2.671 s
000000010432.jpg, 0, 5, 1, 3.599 s
000000010432.jpg, 0, 5, 2, 3.806 s
000000010432.jpg, 0, 5, 3, 3.887 s
000000010432.jpg, 0, 5, 4, 21.014 s
'000000010432.jpg', 153.884
000000014824.jpg, 1, 1, 0, 9.110 s
000000014824.jpg, 1, 2, 0, 1.295 s
000000014824.jpg, 1, 2, 1, 19.792 s
000000014824.jpg, 1, 3, 0, 20.231 s
000000014824.jpg, 1, 3, 1, 9.039 s
000000014824.jpg, 1, 3, 2, 4.815 s
000000014824.jpg, 1, 4, 0, 2.934 s
000000014824.jpg, 1, 4, 1, 15.783 s
000000014824.jpg, 1, 4, 2, 3.672 s
000000014824.jpg, 1, 4, 3, 8.103 s
000000014824.jpg, 1, 5, 0, 4.879 s
000000014824.jpg, 1, 5, 1, 4.520 s
000000014824.jpg, 1, 5, 2, 4.543 s
000000014824.jpg, 1, 5, 3, 4.111 s
000000014824.jpg, 1, 5, 4, 16.095 s
'000000014824.jpg', 132.384
000000022423.jpg, 2, 1, 0, 31.595 s
000000022423.jpg, 2, 2, 0, 16.815 s
000000022423.jpg, 2, 2, 1, 5.320 s
000000022423.jpg, 2, 3, 0, 7.959 s
000000022423.jpg, 2, 3, 1, 3.663 s
000000022423.jpg, 2, 3, 2, 8.511 s
000000022423.jpg, 2, 3, 2, 9.856 s
000000022423.jpg, 2, 3, 2, 10.864 s
000000022423.jpg, 2, 3, 2, 13.216 s
000000022423.jpg, 2, 3, 2, 13.792 s
000000022423.jpg, 2, 3, 2, 26.127 s
000000022423.jpg, 2, 4, 0, 8.399 s
