Time Log File
ImageName, CurreintImageIndex, CurrentColorStep, ActiveColorIndex, TimeElapsed s
000000010432.jpg, 0, 1, 0, 157.590 s
000000010432.jpg, 0, 2, 0, 30.076 s
000000010432.jpg, 0, 2, 1, 1.396 s
000000010432.jpg, 0, 2, 0, 4.388 s
000000010432.jpg, 0, 2, 1, 23.838 s
000000010432.jpg, 0, 3, 0, 15.735 s
000000010432.jpg, 0, 3, 1, 7.406 s
000000010432.jpg, 0, 3, 2, 4.773 s
000000010432.jpg, 0, 3, 2, 5.821 s
000000010432.jpg, 0, 3, 2, 6.213 s
000000010432.jpg, 0, 3, 2, 6.445 s
000000010432.jpg, 0, 3, 2, 6.620 s
000000010432.jpg, 0, 4, 0, 64.585 s
000000010432.jpg, 0, 4, 1, 7.580 s
000000010432.jpg, 0, 4, 2, 3.404 s
000000010432.jpg, 0, 4, 3, 11.166 s
000000010432.jpg, 0, 5, 0, 18.074 s
000000010432.jpg, 0, 5, 1, 2.591 s
000000010432.jpg, 0, 5, 2, 3.110 s
000000010432.jpg, 0, 5, 3, 6.917 s
000000010432.jpg, 0, 5, 4, 13.717 s
'000000010432.jpg', 418.568
000000014824.jpg, 1, 1, 0, 10.696 s
000000014824.jpg, 1, 1, 0, 29.536 s
000000014824.jpg, 1, 2, 0, 1.885 s
000000014824.jpg, 1, 2, 1, 5.047 s
000000014824.jpg, 1, 3, 0, 1.942 s
000000014824.jpg, 1, 3, 1, 3.790 s
000000014824.jpg, 1, 3, 2, 9.895 s
000000014824.jpg, 1, 4, 0, 3.870 s
000000014824.jpg, 1, 4, 1, 4.223 s
000000014824.jpg, 1, 4, 2, 5.580 s
000000014824.jpg, 1, 4, 3, 6.990 s
000000014824.jpg, 1, 5, 0, 5.206 s
000000014824.jpg, 1, 5, 1, 1.766 s
000000014824.jpg, 1, 5, 2, 4.525 s
000000014824.jpg, 1, 5, 3, 10.270 s
000000014824.jpg, 1, 5, 4, 10.391 s
'000000014824.jpg', 114.363
000000022423.jpg, 2, 1, 0, 29.191 s
000000022423.jpg, 2, 1, 0, 37.911 s
000000022423.jpg, 2, 2, 0, 21.239 s
000000022423.jpg, 2, 2, 1, 2.711 s
000000022423.jpg, 2, 3, 0, 7.581 s
