Time Log File
ImageName, CurreintImageIndex, CurrentColorStep, ActiveColorIndex, TimeElapsed s
000000010432.jpg, 0, 1, 0, 26.163 s
000000010432.jpg, 0, 2, 0, 3.628 s
000000010432.jpg, 0, 2, 1, 19.070 s
000000010432.jpg, 0, 3, 0, 5.322 s
000000010432.jpg, 0, 3, 1, 4.096 s
000000010432.jpg, 0, 3, 2, 15.607 s
000000010432.jpg, 0, 4, 0, 3.784 s
000000010432.jpg, 0, 4, 1, 4.039 s
000000010432.jpg, 0, 4, 2, 7.615 s
000000010432.jpg, 0, 4, 3, 5.623 s
000000010432.jpg, 0, 4, 3, 6.327 s
000000010432.jpg, 0, 5, 0, 2.731 s
000000010432.jpg, 0, 5, 1, 4.255 s
000000010432.jpg, 0, 5, 2, 4.086 s
000000010432.jpg, 0, 5, 3, 2.687 s
000000010432.jpg, 0, 5, 4, 14.991 s
'000000010432.jpg', 134.823
000000014824.jpg, 1, 1, 0, 7.261 s
000000014824.jpg, 1, 2, 0, 5.216 s
000000014824.jpg, 1, 2, 1, 9.911 s
000000014824.jpg, 1, 3, 0, 3.835 s
000000014824.jpg, 1, 3, 1, 2.928 s
000000014824.jpg, 1, 3, 2, 6.471 s
000000014824.jpg, 1, 4, 0, 4.643 s
000000014824.jpg, 1, 4, 1, 4.015 s
000000014824.jpg, 1, 4, 2, 6.047 s
000000014824.jpg, 1, 4, 3, 18.151 s
000000014824.jpg, 1, 5, 0, 7.074 s
000000014824.jpg, 1, 5, 1, 3.624 s
000000014824.jpg, 1, 5, 2, 3.695 s
000000014824.jpg, 1, 5, 3, 4.823 s
000000014824.jpg, 1, 5, 4, 15.903 s
'000000014824.jpg', 111.105
000000022423.jpg, 2, 1, 0, 19.135 s
000000022423.jpg, 2, 2, 0, 0.682 s
000000022423.jpg, 2, 2, 1, 6.609 s
000000022423.jpg, 2, 3, 0, 3.163 s
000000022423.jpg, 2, 3, 1, 1.926 s
000000022423.jpg, 2, 3, 2, 6.448 s
000000022423.jpg, 2, 4, 0, 3.155 s
000000022423.jpg, 2, 4, 1, 1.647 s
000000022423.jpg, 2, 4, 2, 2.663 s
000000022423.jpg, 2, 4, 3, 7.295 s
000000022423.jpg, 2, 5, 0, 6.186 s
000000022423.jpg, 2, 5, 1, 3.174 s
000000022423.jpg, 2, 5, 2, 3.256 s
000000022423.jpg, 2, 5, 3, 3.247 s
000000022423.jpg, 2, 5, 4, 2.118 s
'000000022423.jpg', 74.906
000000023019.jpg, 3, 1, 0, 23.553 s
000000023019.jpg, 3, 2, 0, 2.219 s
000000023019.jpg, 3, 2, 1, 13.055 s
000000023019.jpg, 3, 3, 0, 4.011 s
000000023019.jpg, 3, 3, 1, 3.111 s
000000023019.jpg, 3, 3, 2, 4.766 s
