Time Log File
ImageName, CurreintImageIndex, CurrentColorStep, ActiveColorIndex, TimeElapsed s
000000010432.jpg, 0, 1, 0, 43.421 s
000000010432.jpg, 0, 2, 0, 49.959 s
000000010432.jpg, 0, 2, 1, 49.439 s
000000010432.jpg, 0, 3, 0, 16.639 s
000000010432.jpg, 0, 3, 1, 3.103 s
000000010432.jpg, 0, 3, 2, 16.399 s
000000010432.jpg, 0, 4, 0, 5.379 s
000000010432.jpg, 0, 4, 1, 2.782 s
000000010432.jpg, 0, 4, 2, 8.487 s
000000010432.jpg, 0, 4, 3, 24.896 s
000000010432.jpg, 0, 5, 0, 3.115 s
000000010432.jpg, 0, 5, 1, 2.855 s
000000010432.jpg, 0, 5, 2, 10.711 s
000000010432.jpg, 0, 5, 3, 6.783 s
000000010432.jpg, 0, 5, 0, 2.992 s
000000010432.jpg, 0, 5, 1, 5.823 s
000000010432.jpg, 0, 5, 2, 13.231 s
000000010432.jpg, 0, 5, 3, 3.863 s
000000010432.jpg, 0, 5, 4, 70.646 s
'000000010432.jpg', 455.582
000000014824.jpg, 1, 1, 0, 31.801 s
000000014824.jpg, 1, 2, 0, 5.819 s
000000014824.jpg, 1, 2, 1, 9.944 s
000000014824.jpg, 1, 3, 0, 2.627 s
000000014824.jpg, 1, 3, 1, 3.687 s
000000014824.jpg, 1, 3, 2, 16.983 s
000000014824.jpg, 1, 4, 0, 10.699 s
000000014824.jpg, 1, 4, 1, 4.087 s
000000014824.jpg, 1, 4, 2, 1.983 s
000000014824.jpg, 1, 4, 3, 14.607 s
000000014824.jpg, 1, 5, 0, 8.675 s
000000014824.jpg, 1, 5, 1, 2.503 s
000000014824.jpg, 1, 5, 2, 1.919 s
000000014824.jpg, 1, 5, 3, 13.479 s
000000014824.jpg, 1, 5, 4, 18.703 s
'000000014824.jpg', 161.197
000000022423.jpg, 2, 1, 0, 25.584 s
000000022423.jpg, 2, 2, 0, 3.315 s
000000022423.jpg, 2, 2, 1, 16.391 s
000000022423.jpg, 2, 3, 0, 9.731 s
000000022423.jpg, 2, 3, 1, 19.127 s
000000022423.jpg, 2, 3, 2, 10.263 s
000000022423.jpg, 2, 4, 0, 21.203 s
000000022423.jpg, 2, 4, 1, 7.599 s
000000022423.jpg, 2, 4, 2, 7.023 s
000000022423.jpg, 2, 4, 3, 42.903 s
000000022423.jpg, 2, 4, 3, 54.503 s
000000022423.jpg, 2, 4, 3, 62.437 s
000000022423.jpg, 2, 5, 0, 13.586 s
000000022423.jpg, 2, 5, 1, 3.927 s
000000022423.jpg, 2, 5, 2, 1.566 s
000000022423.jpg, 2, 5, 3, 2.568 s
000000022423.jpg, 2, 5, 4, 29.359 s
'000000022423.jpg', 240.530
000000023019.jpg, 3, 1, 0, 32.308 s
000000023019.jpg, 3, 2, 0, 12.891 s
000000023019.jpg, 3, 2, 1, 20.431 s
000000023019.jpg, 3, 3, 0, 8.780 s
000000023019.jpg, 3, 3, 1, 13.615 s
000000023019.jpg, 3, 3, 2, 32.839 s
000000023019.jpg, 3, 4, 0, 8.947 s
000000023019.jpg, 3, 4, 1, 7.303 s
000000023019.jpg, 3, 4, 2, 5.239 s
000000023019.jpg, 3, 4, 3, 25.295 s
000000023019.jpg, 3, 5, 0, 7.307 s
000000023019.jpg, 3, 5, 1, 14.095 s
000000023019.jpg, 3, 5, 2, 4.079 s
000000023019.jpg, 3, 5, 3, 4.231 s
000000023019.jpg, 3, 5, 4, 11.743 s
'000000023019.jpg', 219.687
000000029255.jpg, 4, 1, 0, 22.741 s
000000029255.jpg, 4, 2, 0, 2.348 s
000000029255.jpg, 4, 2, 1, 8.711 s
000000029255.jpg, 4, 3, 0, 2.188 s
000000029255.jpg, 4, 3, 1, 1.782 s
000000029255.jpg, 4, 3, 2, 24.855 s
000000029255.jpg, 4, 4, 0, 4.146 s
000000029255.jpg, 4, 4, 1, 1.304 s
000000029255.jpg, 4, 4, 2, 7.239 s
000000029255.jpg, 4, 4, 3, 11.783 s
000000029255.jpg, 4, 5, 0, 5.147 s
000000029255.jpg, 4, 5, 1, 1.815 s
000000029255.jpg, 4, 5, 2, 10.687 s
000000029255.jpg, 4, 5, 3, 12.767 s
000000029255.jpg, 4, 5, 4, 9.255 s
000000029255.jpg, 4, 5, 4, 11.343 s
'000000029255.jpg', 140.152
000000034221.jpg, 5, 1, 0, 16.269 s
000000034221.jpg, 5, 2, 0, 1.435 s
000000034221.jpg, 5, 2, 1, 9.648 s
000000034221.jpg, 5, 3, 0, 1.827 s
000000034221.jpg, 5, 3, 1, 1.416 s
000000034221.jpg, 5, 3, 2, 14.455 s
000000034221.jpg, 5, 3, 2, 19.503 s
000000034221.jpg, 5, 3, 2, 20.191 s
000000034221.jpg, 5, 3, 2, 20.631 s
000000034221.jpg, 5, 4, 0, 4.931 s
000000034221.jpg, 5, 4, 1, 4.280 s
000000034221.jpg, 5, 4, 2, 28.543 s
000000034221.jpg, 5, 5, 0, 1.275 s
000000034221.jpg, 5, 5, 1, 1.639 s
000000034221.jpg, 5, 4, 0, 18.636 s
000000034221.jpg, 5, 4, 1, 3.159 s
000000034221.jpg, 5, 4, 2, 9.375 s
000000034221.jpg, 5, 4, 3, 6.887 s
000000034221.jpg, 5, 4, 3, 16.751 s
000000034221.jpg, 5, 4, 3, 17.768 s
000000034221.jpg, 5, 4, 3, 25.855 s
000000034221.jpg, 5, 5, 0, 2.252 s
000000034221.jpg, 5, 5, 1, 0.998 s
000000034221.jpg, 5, 5, 2, 5.431 s
000000034221.jpg, 5, 5, 3, 5.799 s
000000034221.jpg, 5, 5, 4, 49.983 s
'000000034221.jpg', 242.095
000000050735.jpg, 6, 1, 0, 45.798 s
000000050735.jpg, 6, 2, 0, 2.708 s
000000050735.jpg, 6, 2, 1, 19.535 s
000000050735.jpg, 6, 3, 0, 2.587 s
000000050735.jpg, 6, 3, 1, 1.760 s
000000050735.jpg, 6, 3, 2, 16.151 s
000000050735.jpg, 6, 4, 0, 5.363 s
000000050735.jpg, 6, 4, 1, 2.151 s
000000050735.jpg, 6, 4, 2, 4.127 s
000000050735.jpg, 6, 4, 3, 11.575 s
000000050735.jpg, 6, 5, 0, 5.939 s
000000050735.jpg, 6, 5, 1, 3.455 s
000000050735.jpg, 6, 5, 2, 2.311 s
000000050735.jpg, 6, 5, 3, 5.663 s
000000050735.jpg, 6, 5, 4, 14.902 s
'000000050735.jpg', 158.307
000000056322.jpg, 7, 1, 0, 21.491 s
000000056322.jpg, 7, 2, 0, 2.299 s
000000056322.jpg, 7, 2, 1, 14.655 s
000000056322.jpg, 7, 3, 0, 3.979 s
000000056322.jpg, 7, 3, 1, 8.736 s
000000056322.jpg, 7, 3, 2, 31.495 s
000000056322.jpg, 7, 4, 0, 5.291 s
000000056322.jpg, 7, 4, 1, 6.679 s
000000056322.jpg, 7, 4, 2, 4.502 s
000000056322.jpg, 7, 4, 3, 39.656 s
000000056322.jpg, 7, 5, 0, 4.858 s
000000056322.jpg, 7, 5, 1, 4.791 s
000000056322.jpg, 7, 5, 2, 6.446 s
000000056322.jpg, 7, 5, 3, 10.400 s
000000056322.jpg, 7, 5, 4, 13.695 s
'000000056322.jpg', 191.359
000000062589.jpg, 8, 1, 0, 8.209 s
000000062589.jpg, 8, 2, 0, 3.916 s
000000062589.jpg, 8, 2, 1, 18.464 s
000000062589.jpg, 8, 3, 0, 11.859 s
000000062589.jpg, 8, 3, 1, 3.583 s
000000062589.jpg, 8, 3, 2, 8.735 s
000000062589.jpg, 8, 4, 0, 3.180 s
000000062589.jpg, 8, 4, 1, 7.751 s
000000062589.jpg, 8, 4, 2, 2.303 s
000000062589.jpg, 8, 4, 3, 35.503 s
000000062589.jpg, 8, 5, 0, 3.899 s
000000062589.jpg, 8, 5, 1, 7.983 s
000000062589.jpg, 8, 5, 2, 2.071 s
000000062589.jpg, 8, 5, 3, 5.678 s
000000062589.jpg, 8, 5, 4, 13.208 s
'000000062589.jpg', 143.245
000000076930.jpg, 9, 1, 0, 23.019 s
000000076930.jpg, 9, 2, 0, 1.011 s
000000076930.jpg, 9, 2, 1, 11.455 s
000000076930.jpg, 9, 3, 0, 3.876 s
000000076930.jpg, 9, 3, 1, 1.270 s
000000076930.jpg, 9, 3, 2, 9.280 s
000000076930.jpg, 9, 4, 0, 13.963 s
000000076930.jpg, 9, 4, 1, 1.519 s
