Time Log File
ImageName, CurreintImageIndex, CurrentColorStep, ActiveColorIndex, TimeElapsed s
000000010432.jpg, 0, 1, 0, 25.932 s
000000010432.jpg, 0, 2, 0, 1.934 s
000000010432.jpg, 0, 2, 1, 1.588 s
000000010432.jpg, 0, 2, 1, 19.619 s
000000010432.jpg, 0, 1, 0, 51.628 s
000000010432.jpg, 0, 2, 0, 3.780 s
000000010432.jpg, 0, 2, 1, 2.727 s
000000010432.jpg, 0, 3, 0, 11.565 s
000000010432.jpg, 0, 3, 1, 3.574 s
000000010432.jpg, 0, 3, 2, 8.117 s
000000010432.jpg, 0, 4, 0, 4.068 s
000000010432.jpg, 0, 4, 1, 3.062 s
000000010432.jpg, 0, 4, 2, 7.007 s
000000010432.jpg, 0, 4, 3, 13.046 s
000000010432.jpg, 0, 5, 0, 6.043 s
000000010432.jpg, 0, 5, 1, 3.574 s
000000010432.jpg, 0, 5, 2, 6.511 s
000000010432.jpg, 0, 5, 3, 3.231 s
000000010432.jpg, 0, 5, 4, 1.838 s
'000000010432.jpg', 216.604
000000014824.jpg, 1, 1, 0, 21.278 s
'000000010432.jpg', 26.879
000000014824.jpg, 1, 1, 0, 8.918 s
000000014824.jpg, 1, 2, 0, 8.462 s
000000014824.jpg, 1, 2, 1, 4.095 s
000000014824.jpg, 1, 3, 0, 15.566 s
000000014824.jpg, 1, 3, 1, 3.837 s
000000014824.jpg, 1, 3, 2, 19.359 s
000000014824.jpg, 1, 4, 0, 5.853 s
000000014824.jpg, 1, 4, 1, 2.215 s
000000014824.jpg, 1, 4, 2, 4.983 s
000000014824.jpg, 1, 4, 3, 6.286 s
000000014824.jpg, 1, 4, 3, 9.022 s
000000014824.jpg, 1, 5, 0, 10.773 s
000000014824.jpg, 1, 5, 1, 5.590 s
000000014824.jpg, 1, 5, 2, 8.767 s
000000014824.jpg, 1, 5, 3, 3.863 s
000000014824.jpg, 1, 5, 4, 5.975 s
'000000014824.jpg', 123.432
000000022423.jpg, 2, 1, 0, 12.082 s
000000022423.jpg, 2, 2, 0, 9.374 s
000000022423.jpg, 2, 2, 1, 2.839 s
000000022423.jpg, 2, 3, 0, 2.430 s
000000022423.jpg, 2, 3, 1, 7.463 s
000000022423.jpg, 2, 3, 2, 13.686 s
000000022423.jpg, 2, 4, 0, 5.470 s
000000022423.jpg, 2, 4, 1, 8.318 s
000000022423.jpg, 2, 4, 2, 3.319 s
000000022423.jpg, 2, 4, 3, 4.927 s
000000022423.jpg, 2, 5, 0, 1.573 s
000000022423.jpg, 2, 5, 1, 1.775 s
000000022423.jpg, 2, 5, 2, 9.798 s
000000022423.jpg, 2, 5, 3, 7.319 s
'000000022423.jpg', 98.660
000000022423.jpg, 2, 5, 0, 21.909 s
000000022423.jpg, 2, 5, 4, 3.081 s
'000000022423.jpg', 31.936
000000023019.jpg, 3, 1, 0, 8.932 s
000000023019.jpg, 3, 2, 0, 2.038 s
000000023019.jpg, 3, 2, 1, 9.286 s
000000023019.jpg, 3, 3, 0, 7.302 s
