Time Log File
ImageName, CurreintImageIndex, CurrentColorStep, ActiveColorIndex, TimeElapsed s
000000010432.jpg, 0, 1, 0, 151.058 s
000000010432.jpg, 0, 1, 0, 151.747 s
000000010432.jpg, 0, 1, 0, 159.307 s
000000010432.jpg, 0, 1, 0, 181.163 s
000000010432.jpg, 0, 2, 0, 12.259 s
000000010432.jpg, 0, 2, 1, 4.623 s
000000010432.jpg, 0, 2, 0, 1.538 s
000000010432.jpg, 0, 2, 0, 2.147 s
000000010432.jpg, 0, 2, 1, 6.903 s
000000010432.jpg, 0, 3, 0, 4.963 s
000000010432.jpg, 0, 3, 1, 2.791 s
000000010432.jpg, 0, 3, 2, 4.495 s
000000010432.jpg, 0, 3, 1, 0.721 s
000000010432.jpg, 0, 3, 2, 11.945 s
000000010432.jpg, 0, 4, 0, 2.688 s
000000010432.jpg, 0, 4, 1, 2.991 s
000000010432.jpg, 0, 4, 2, 5.151 s
000000010432.jpg, 0, 4, 3, 9.559 s
000000010432.jpg, 0, 5, 0, 2.887 s
000000010432.jpg, 0, 5, 1, 1.585 s
000000010432.jpg, 0, 5, 2, 3.542 s
000000010432.jpg, 0, 5, 3, 5.368 s
000000010432.jpg, 0, 5, 4, 5.399 s
'000000010432.jpg', 435.920
000000014824.jpg, 1, 1, 0, 8.646 s
000000014824.jpg, 1, 2, 0, 4.616 s
000000014824.jpg, 1, 2, 1, 5.975 s
000000014824.jpg, 1, 3, 0, 4.080 s
000000014824.jpg, 1, 3, 1, 3.495 s
000000014824.jpg, 1, 3, 2, 6.863 s
000000014824.jpg, 1, 4, 0, 5.377 s
000000014824.jpg, 1, 4, 1, 2.687 s
000000014824.jpg, 1, 4, 2, 6.031 s
000000014824.jpg, 1, 4, 3, 11.231 s
000000014824.jpg, 1, 5, 0, 3.520 s
000000014824.jpg, 1, 5, 1, 6.119 s
000000014824.jpg, 1, 5, 2, 2.655 s
000000014824.jpg, 1, 5, 3, 5.766 s
000000014824.jpg, 1, 5, 4, 16.336 s
'000000014824.jpg', 105.581
000000022423.jpg, 2, 1, 0, 6.333 s
000000022423.jpg, 2, 2, 0, 1.895 s
000000022423.jpg, 2, 2, 1, 5.552 s
000000022423.jpg, 2, 3, 0, 5.448 s
000000022423.jpg, 2, 3, 1, 2.039 s
000000022423.jpg, 2, 3, 2, 12.511 s
000000022423.jpg, 2, 4, 0, 1.864 s
000000022423.jpg, 2, 4, 1, 19.127 s
000000022423.jpg, 2, 4, 2, 7.686 s
000000022423.jpg, 2, 4, 3, 9.111 s
000000022423.jpg, 2, 5, 0, 3.335 s
000000022423.jpg, 2, 5, 1, 3.919 s
000000022423.jpg, 2, 5, 2, 4.447 s
000000022423.jpg, 2, 5, 3, 10.983 s
000000022423.jpg, 2, 5, 4, 13.679 s
'000000022423.jpg', 117.892
000000023019.jpg, 3, 1, 0, 7.314 s
000000023019.jpg, 3, 2, 0, 5.183 s
000000023019.jpg, 3, 2, 1, 8.984 s
000000023019.jpg, 3, 3, 0, 9.352 s
000000023019.jpg, 3, 3, 1, 2.343 s
000000023019.jpg, 3, 3, 2, 9.647 s
000000023019.jpg, 3, 4, 0, 5.064 s
000000023019.jpg, 3, 4, 1, 3.503 s
000000023019.jpg, 3, 4, 2, 3.375 s
000000023019.jpg, 3, 4, 3, 9.520 s
000000023019.jpg, 3, 5, 0, 4.752 s
000000023019.jpg, 3, 5, 1, 1.655 s
000000023019.jpg, 3, 5, 2, 7.791 s
000000023019.jpg, 3, 5, 3, 11.823 s
000000023019.jpg, 3, 5, 4, 16.039 s
'000000023019.jpg', 113.978
000000029255.jpg, 4, 1, 0, 3.785 s
000000029255.jpg, 4, 2, 0, 3.425 s
000000029255.jpg, 4, 2, 1, 8.207 s
000000029255.jpg, 4, 3, 0, 3.064 s
000000029255.jpg, 4, 3, 1, 5.160 s
000000029255.jpg, 4, 3, 2, 8.167 s
000000029255.jpg, 4, 4, 0, 4.368 s
000000029255.jpg, 4, 4, 1, 7.383 s
000000029255.jpg, 4, 4, 2, 16.054 s
000000029255.jpg, 4, 4, 3, 7.224 s
000000029255.jpg, 4, 5, 0, 4.352 s
000000029255.jpg, 4, 5, 1, 4.647 s
000000029255.jpg, 4, 5, 2, 4.159 s
000000029255.jpg, 4, 5, 3, 16.935 s
000000029255.jpg, 4, 5, 4, 4.887 s
'000000029255.jpg', 109.041
000000034221.jpg, 5, 1, 0, 4.817 s
000000034221.jpg, 5, 2, 0, 2.680 s
000000034221.jpg, 5, 2, 1, 17.175 s
000000034221.jpg, 5, 3, 0, 5.720 s
000000034221.jpg, 5, 3, 1, 3.519 s
000000034221.jpg, 5, 3, 2, 3.231 s
000000034221.jpg, 5, 4, 0, 2.455 s
000000034221.jpg, 5, 4, 1, 4.057 s
000000034221.jpg, 5, 4, 2, 3.615 s
